Country,Extra Info,2001,2002,2003,2004,2005
Algeria,Total,129092,126557,nan,nan,nan
Benin,Total,83417,nan,nan,nan,nan
Botswana,Total,20823,nan,nan,nan,nan
Chad,Total,138025,nan,nan,nan,nan
Egypt,Total,404531,424034,440149,440790,450646
Kenya,Total,168500,171800,174950,178051,168919
Libya,Total,18334,19362,nan,nan,nan
Malawi,Total,221963,217205,213705,nan,nan
Mauritius,Total,7983,8310,8520,8475,8646
Morocco,Total,95612,nan,nan,nan,nan
Mozambique,Total,331162,nan,nan,nan,nan
Namibia,Total,37592,nan,nan,nan,nan
Saint Helena,Total,829,4004,4022,3884,4357
Seychelles,Total,554,nan,668,611,673
South Africa,Total,451279,497577,550904,565954,nan
Anguilla,Total,50,52,65,53,62
Antigua and Barbuda,Total,462,444,nan,nan,nan
Aruba,Total,435,492,nan,nan,482
Bahamas,Total,1609,nan,1649,nan,nan
Barbados,Total,1712,2285,nan,nan,nan
Belize,Total,1261,1284,1277,1298,1369
Bermuda,Total,442,404,434,406,437
British Virgin Islands,Total,101,97,104,120,nan
Canada,Total,219538,223603,226169,226584,231240
Cayman Islands,Total,132,120,153,196,170
Costa Rica,Total,15609,15004,15800,15949,16139
Cuba,Total,79395,73882,78434,81095,84824
Dominica,Total,510,594,557,nan,nan
Dominican Republic,Total,26636,26166,28343,30118,nan
El Salvador,Total,29559,27458,29377,30058,nan
Greenland,Total,438,435,412,nan,nan
Grenada,Total,77,91,72,nan,nan
Guatemala,Total,2765,2584,2636,2676,904
Haiti,Total,68041,66089,66695,66991,71039
Jamaica,Total,9599,7657,8011,nan,nan
Martinique,Total,14473,15711,15581,15389,15523
Mexico,Total,443127,459687,nan,nan,495240
Panama,Total,12442,12428,13248,13475,14180
Puerto Rico,Total,28794,28098,28356,nan,29701
Saint Kitts and Nevis,Total,352,nan,nan,nan,nan
Saint Lucia,Total,998,960,1046,1114,nan
Saint Vincent and the Grenadines,Total,765,766,790,812,813
Trinidad and Tobago,Total,9753,9797,nan,nan,nan
Turks and Caicos Islands,Total,69,48,61,46,53
United States,Total,2416425,2443387,2448288,2398343,nan
United States Virgin Islands,Total,605,617,nan,nan,nan
