Switzerland,nan,644193,620385,57374,57401
United Kingdom,nan,564063,546191,576754,578400
Northern Ireland,nan,9207,14671,nan,16300
Scotland,nan,63689,59523,63311,63800
Yugoslavia,nan,nan,174060,173916,186668
American Samoa,nan,150,126,116,146
Australia,nan,103929,102703,109547,nan
Christmas Island,nan,5,9,14,nan
Cook Islands,nan,168,162,nan,nan
Fiji,nan,2484,2456,2637,nan
French Polynesia,nan,1071,968,914,nan
Gilbert and Ellice Islands,nan,nan,nan,nan,nan
Guam,nan,327,340,356,414
Nauru,nan,48,39,50,nan
New Caledonia,nan,1064,895,941,nan
New Guinea,Non-indigenous population,68,55,71,nan
New Zealand,nan,23778,23007,24464,24161
Niue Island,nan,54,45,46,nan
Pacific Islands,nan,493,496,545,399
Papua,Non-indigenous population,41,47,40,nan
Pitcairn Island,nan,1,nan,nan,nan
Tonga,nan,nan,186,nan,nan
Wallis and Futuna Islands,nan,64,45,36,45
Western Samoa,nan,802,637,568,nan
Russia,USSR,1710951,1799038,1833463,nan
Russia,Byelorussian SSR,nan,nan,nan,nan
Russia,Ukrainian SSR,344850,368573,374440,nan
