Country,Extra Info,1980,1981,1982,1983
Algeria,nan,279674,273277,209027,773409
Angola,nan,nan,nan,nan,nan
Benin,nan,nan,nan,nan,nan
Botswana,nan,nan,nan,nan,nan
Burkina Faso,nan,nan,nan,nan,nan
Burundi,nan,nan,nan,nan,nan
Cameroon,nan,nan,nan,nan,nan
Cabo Verde,nan,2281,nan,nan,nan
Central African Republic,nan,nan,nan,nan,nan
Chad,nan,nan,nan,nan,nan
Comoros,nan,5388,nan,nan,nan
Congo,nan,nan,nan,nan,nan
Côte d'Ivoire,nan,nan,nan,nan,nan
Egypt,nan,421227,432264,459998,412700
Equatorial Guinea,nan,nan,nan,nan,nan
Ethiopia,nan,nan,nan,nan,nan
Gabon,nan,nan,nan,nan,nan
Gambia,nan,nan,nan,nan,nan
Ghana,nan,33927,nan,nan,nan
Guinea,nan,nan,nan,nan,nan
Guinea-Bissau,nan,nan,7579,nan,nan
Kenya,nan,nan,nan,nan,nan
Lesotho,nan,nan,nan,nan,nan
Liberia,nan,nan,nan,nan,nan
Libya,nan,75058,75943,nan,nan
Madagascar,nan,nan,767000,nan,nan
Malawi,nan,8114530,8138694,nan,nan
Mali,nan,nan,nan,nan,nan
Mauritania,nan,nan,nan,nan,nan
Mauritius,nan,6685,6404,6385,6322
Rodrigues,nan,234,249,199,210
Morocco,nan,nan,nan,nan,nan
Mozambique,nan,nan,nan,nan,nan
Namibia,nan,nan,nan,nan,nan
Niger,nan,nan,nan,nan,nan
Nigeria,nan,nan,nan,3012,nan
Reunion,nan,3237,nan,3012,nan
Rwanda,nan,27204,3135,nan,3280
St. Helena,nan,nan,22706,23988,77939
Ascension,nan,64,47,50,nan
Tristan da Cunha,nan,5,7,2,3
Sao Tome and Principe,nan,nan,nan,878,nan
Senegal,nan,444,442,482,452
Seychelles,nan,nan,nan,nan,nan
Sierra Leone,nan,nan,nan,nan,nan
Somalia,nan,nan,nan,nan,nan
South Africa,nan,nan,nan,nan,nan
Sudan,nan,nan,nan,nan,nan
Eswatini,nan,nan,nan,nan,nan
Togo,nan,nan,nan,7697,nan
Tunisia,nan,36445,36997,36776,35054
Uganda,nan,nan,nan,nan,nan
United Republic of Tanzania,nan,nan,nan,nan,nan
DR Congo,nan,22414,19943,20042,nan
Zambia,nan,nan,nan,nan,nan
Zimbabwe,nan,nan,nan,........,nan
Zimbabwe,European,2085,2188,2249,2224
Zimbabwe,Asiatic,nan,nan,nan,nan
Zimbabwe,Coloured,68,68,nan,nan
Zimbabwe,Persons of Colour,778,737,757,757
Anguilla,nan,nan,nan,nan,nan
Antigua and Barbuda,nan,387,377,394,404
Aruba,nan,288,317,313,339
Bahamas,nan,1338,1127,1185,1104
Barbados,nan,2012,1878,2003,2068
Belize,nan,717,nan,nan,724
Bermuda,nan,397,457,379,398
British Virgin Islands,nan,69,53,67,61
Canada,nan,171473,171029,174413,174484
Cayman Islands,nan,105,106,108,105
Costa Rica,nan,9268,8990,9168,9432
Cuba,nan,55707,57814,56485,58346
Dominica,nan,nan,340,406,nan
Dominican Republic,nan,26211,24743,26589,nan
El Salvador,nan,38967,37468,33284,32697
Greenland,nan,383,383,425,434
Grenada,nan,nan,nan,nan,nan
Guadeloupe,nan,2126,2141,2125,2206
Guatemala,nan,71352,75658,56770,nan
Haiti,nan,18343,18313,18507,19304
Honduras,nan,nan,nan,nan,nan
Jamaica,nan,12706,13453,12698,12588
Martinique,nan,2143,2041,2113,2207
Mexico,nan,434465,424274,412345,nan
Montserrat,nan,103,117,114,nan
Netherlands Antilles,nan,968,966,957,nan
Nicaragua,nan,28599,nan,8742,29045
Panama,nan,7959,nan,8499,nan
Former Canal Zone,nan,nan,7976,nan,nan
Puerto Rico,nan,20530,21197,21522,21498
Saint Christopher and Nevis,nan,493,450,503,nan
Saint Lucia,nan,nan,nan,nan,478
Saint Pierre and Miquelon,nan,843,843,817,790
Saint Vincent and the Grenadines,nan,39,50,nan,nan
Trinidad and Tobago,nan,724,772,717,779
Turks and Caicos Islands,nan,7506,7355,nan,nan
United States,nan,1989841,1977981,1974797,2010000
United States Virgin Islands,nan,nan,nan,nan,nan
Argentina,nan,241125,241904,nan,nan
Bolivia,nan,26837,nan,nan,nan
Brazil,nan,809273,797289,787294,798425
Chile,nan,76537,73446,72436,74528
Colombia,nan,74109,69971,69887,74296
Ecuador,nan,57020,54910,nan,55202
Falkland Islands (Malvinas),nan,9,10,nan,nan
French Guiana,nan,457,402,471,474
Guyana,nan,6251,5883,6000,nan
Paraguay,nan,12822,11612,10201,13507
Peru,nan,193063,193216,202300,199000
Suriname,nan,29844,27644,27186,nan
Uruguay,nan,nan,nan,nan,nan
Venezuela,nan,77018,nan,nan,76745
Afghanistan,nan,290974,nan,nan,nan
Bahrain,nan,1085,1065,1119,112139
Bangladesh,nan,1051927,nan,nan,nan
Bhutan,nan,913294,nan,nan,nan
Brunei Darussalam,nan,nan,705,783,nan
Myanmar,nan,732,742,nan,717
China,nan,nan,nan,nan,nan
Cyprus,nan,5814,5332,5435,5560
Democratic Kampuchea,nan,nan,nan,nan,nan
Democratic Yemen,nan,nan,nan,nan,nan
East Timor,nan,nan,nan,nan,nan
Hong Kong,nan,24995,24822,25384,26512
India,nan,nan,nan,nan,nan
Indonesia,nan,nan,nan,nan,nan
Iran,nan,142402,nan,200614,nan
Iraq,nan,162176,178099,nan,207228
Israel,nan,26325,26024,27714,27824
Japan,nan,722801,720262,711883,740038
Jordan,nan,6318,7162,7471,nan
North Korea,nan,nan,nan,nan,nan
South Korea,nan,256972,255687,254269,252955
Kuwait,nan,4932,4678,4992,4654
Laos,nan,1465,nan,nan,nan
Lebanon,nan,nan,nan,nan,nan
Macau,nan,1486,nan,1458,nan
Malaysia,nan,64212,nan,nan,nan
Peninsular Malaysia,nan,63814,66217,63176,64345
Sabah,nan,4609,61564,64207,nan
Sarawak,nan,5044,4795,2129,nan
Maldives,nan,1787,1963,nan,1748
Mongolia,nan,17300,15800,nan,1748
Nepal,nan,nan,nan,nan,nan
Oman,nan,nan,nan,nan,nan
Pakistan,nan,679312,nan,588704,nan
Philippines,nan,298006,301117,308758,327260
Qatar,nan,662,725,789,803
Saudi Arabia,nan,12863,12896,nan,nan
Singapore,nan,12505,88481,nan,94064
Sri Lanka,nan,94244,nan,92931,nan
Syrian Arab Republic,nan,106506,103284,nan,nan
Thailand,nan,247970,239423,247402,252592
Turkey,nan,nan,nan,nan,nan
United Arab Emirates,nan,nan,nan,nan,nan
Vietnam,nan,nan,nan,nan,nan
Yemen,nan,nan,nan,nan,nan
Albania,nan,16981,18001,16521,17416
Andorra,nan,153,156,nan,nan
Austria,nan,92442,92693,91339,93041
Belgium,nan,113699,112326,112506,114814
Bulgaria,nan,88348,94362,nan,nan
Channel Islands,nan,97950,95441,100293,102182
Guernsey,nan,571,595,630,639
Jersey,nan,952,929,848,944
Czechoslovakia,nan,186116,180039,181158,186907
Denmark,nan,55939,56359,55368,57156
Faeroe Islands,nan,309,293,316,nan
Finland,nan,303,269,nan,348
France,nan,44398,44404,43408,45388
German Democratic Republic,nan,547107,554823,nan,559655
Germany (Federal Republic of),nan,714117,722192,718337,nan
Gibraltar,nan,282,231,223,252
Greece,nan,87282,86261,86345,90586
Vatican City,nan,nan,144757,nan,nan
Hungary,nan,145355,nan,144318,148643
Iceland,nan,1538,1656,1583,1653
Ireland,nan,33472,nan,32457,32976
Isle of Man,nan,1015,979,983,943
Italy,nan,554510,545291,531632,561214
Liechtenstein,nan,175,161,167,151
Luxembourg,nan,4113,4105,4133,4129
Malta,nan,3263,3137,nan,nan
Monaco,nan,549,555,448,447
Netherlands,nan,114279,115515,117264,117761
Norway,nan,41340,41454,42224,nan
Poland,nan,350203,328923,334869,349388
Portugal,nan,94971,95892,92551,96367
Romania,nan,231876,nan,224120,233892
San Marino,nan,166,163,157,163
Spain,nan,289344,286400,282250,90791
Sweden,nan,91800,92034,90671,nan
Switzerland,nan,59097,59763,59204,60756
United Kingdom,nan,661519,657974,662801,659101
England and Wales,nan,581385,577890,581861,579608
Northern Ireland,nan,16835,16256,15918,16039
Scotland,nan,63299,63828,65022,63454
Yugoslavia,nan,197361,201196,203264,219274
American Samoa,nan,nan,nan,nan,nan
Australia,nan,108695,109003,114771,110084
Christmas Island,nan,151,nan,nan,nan
Cocos (Keeling) Islands,nan,nan,4,5,nan
Cook Islands,nan,124,102,130,129
Fiji,nan,4058,4251,3837,3477
French Polynesia,nan,966,nan,923,nan
Guam,nan,422,407,443,461
Nauru,nan,nan,58,nan,nan
New Caledonia,nan,7008,973,974,830
New Zealand,nan,26676,25150,25532,25991
Niue,nan,34,24,27,24
Norfolk Island,nan,14,14,nan,15
Pacific Islands,nan,nan,nan,474,nan
Papua New Guinea,nan,541,630,549,615
