Country,Extra Info,1971,1972,1973,1974,1975
Angola,nan,15136,15086,16322,nan,nan
Cabo Verde,nan,4147,2779,3513,2576,nan
Egypt,nan,445192,499628,459816,453199,nan
Kenya,nan,17825,46884,46992,nan,nan
Lesotho,nan,13811,nan,nan,nan,nan
Liberia,nan,32928,nan,nan,nan,nan
Libya,nan,15488,nan,nan,nan,nan
Malawi,nan,109223,nan,nan,nan,nan
Mauritius,Island of Mauritius,nan,nan,6525,nan,6980
Mauritius,Rodrigues,6248,6506,254,6221,nan
Mozambique,nan,12885,14080,16752,16885,nan
Nigeria,Lagos,10664,10108,10786,nan,nan
Reunion,nan,3494,3391,3377,nan,nan
Rwanda,nan,21750,18443,29134,31863,31935
St. Helena,nan,60,49,60,56,nan
Sao Tome and Principe,nan,859,840,nan,nan,nan
Senegal,Dakar,8699,8756,9473,nan,nan
Seychelles,nan,464,529,475,497,nan
South Africa,Asiatic population,4468,nan,nan,nan,nan
South Africa,Coloured population,27919,nan,nan,nan,nan
South Africa,White population,33321,nan,nan,nan,nan
Zimbabwe,Asiatic population,46,49,51,nan,nan
Zimbabwe,Coloured population,90,103,nan,nan,65
Zimbabwe,European population,1757,2047,2038,nan,2009
Spanish Sahara,nan,340,404,nan,nan,nan
Tunisia,nan,48625,39488,44416,39062,nan
Antigua,nan,nan,nan,nan,482,nan
Bahamas,nan,948,1101,1180,1032,792
Barbados,nan,2058,2045,2287,721,nan
Belize,nan,625,669,801,349,nan
Bermuda,nan,428,388,nan,nan,nan
British Virgin Islands,nan,59,63,62,75,nan
Canada,nan,157272,162413,164039,166794,nan
Cayman Islands,nan,65,67,76,68,nan
Costa Rica,nan,10575,10855,9702,9512,nan
Cuba,nan,51671,48534,51238,nan,nan
Dominican Republic,nan,25245,27538,26429,nan,nan
El Salvador,nan,28752,32383,31865,30590,nan
Greenland,nan,289,279,336,nan,nan
Grenada,nan,2337,2458,nan,780,nan
Guatemala,nan,75223,67989,2483,nan,nan
Haiti,nan,20405,nan,69686,nan,nan
Honduras,nan,nan,21545,20972,19298,nan
Jamaica,nan,14078,13970,14157,14374,nan
Martinique,nan,2230,2280,2335,nan,nan
Mexico,nan,458323,476206,458915,nan,nan
Montserrat,nan,123,144,107,131,nan
Netherlands Antilles,nan,1111,1128,1061,nan,nan
Nicaragua,nan,13569,nan,13324,nan,nan
Panama,nan,9857,9076,nan,9001,nan
Puerto Rico,nan,121,104,nan,83,nan
St. Kitts-Nevis-Anguilla,nan,18144,nan,nan,nan,nan
St. Lucia,nan,804,971,nan,nan,nan
St. Pierre and Miquelon,nan,nan,nan,nan,53,nan
St. Vincent,nan,734,890,990,nan,nan
Trinidad and Tobago,nan,7044,6955,7092,6936,nan
Turks and Caicos Islands,nan,59,nan,58,nan,nan
United States,nan,927542,1963544,1973003,1934388,1910000
United States Virgin Islands,nan,538,539,496,485,477
Argentina,nan,19267,nan,nan,nan,nan
Peru,nan,28527,28327,28437,73555,nan
Suriname,nan,70478,72162,76333,nan,nan
Brunei,nan,801,nan,701,640,nan
Indonesia,nan,151799,153239,158422,2115000,nan
Iran,nan,38546,40599,nan,nan,24135
Iraq,nan,20665,nan,nan,nan,24100
Israel,nan,689542,nan,nan,nan,6789
Albania,nan,17768,nan,nan,nan,nan
Andorra,nan,91,nan,nan,nan,nan
Austria,nan,95323,95323,92768,94324,nan
Belgium,nan,118853,117424,118786,116352,95585
Bulgaria,nan,82805,84174,81470,85239,89959
Channel Islands,nan,1521,1483,1497,1517,nan
Czechoslovakia,nan,165231,160615,168196,171325,169566
Denmark,nan,48858,50445,50526,51457,nan
Faeroe Islands,nan,nan,267,43410,44821,44356
Finland,nan,45876,43958,nan,nan,nan
France,nan,nan,nan,559900,545000,nan
German Democratic Republic,nan,554151,549900,nan,nan,nan
Germany Federal Republic,nan,234953,234425,231960,229062,nan
Gibraltar,nan,238,244,244,204,nan
Greece,nan,73819,76859,77648,76303,80200
Vatican City,nan,6,7,6,2,4
Hungary,nan,123009,118991,123366,125816,130954
Iceland,nan,1501,1447,1475,1495,1500
Ireland,nan,31890,34381,34192,34468,nan
Isle of Man,nan,924,1056,921,1079,nan
Italy,nan,522654,523828,544969,528461,nan
Liechtenstein,nan,186,149,178,nan,174
Luxembourg,nan,4416,4120,4184,4291,4370
Malta,nan,3090,2891,2935,2747,2901
Monaco,nan,270,269,301,295,nan
Netherlands,nan,110243,113576,110682,109250,nan
Norway,nan,38981,39375,39958,39407,nan
Poland,nan,283702,265250,277188,277085,nan
Portugal,nan,98688,90315,95435,96928,nan
Romania,nan,194306,189793,203559,191286,nan
San Marino,nan,145,138,146,148,nan
Spain,nan,302869,280163,296524,295275,288167
Sweden,nan,82717,84051,85640,86316,88116
Switzerland,nan,57856,56489,56990,56403,56400
United Kingdom,nan,644042,673938,669475,667400,nan
England and Wales,nan,566226,591889,587478,585200,nan
Northern Ireland,nan,16202,17032,17669,17327,16500
Scotland,nan,61614,65017,64545,64740,63800
Yugoslavia,nan,179113,190578,180997,177481,184657
Australia,nan,110650,109768,110822,116525,nan
Christmas Island,nan,4,8,6,nan,nan
Cocos (Keeling) Islands,nan,5,4,4,nan,nan
Fiji,nan,3140,2680,2748,2756,nan
French Polynesia,nan,961,917,nan,nan,nan
Gilbert Islands,nan,374,nan,nan,nan,nan
Guam,nan,364,409,435,449,nan
New Caledonia,nan,1044,1245,999,1045,nan
New Zealand,nan,24309,24801,25314,nan,25114
Niue Island,nan,28,40,45,16,nan
Norfolk Island,nan,16,9,nan,10,nan
Pacific Islands,nan,570,581,537,570,nan
Pitcairn Island,nan,2,nan,nan,3,nan
Tonga,nan,285,nan,nan,nan,nan
Western Samoa,nan,1100,966,nan,540,nan
Russia,nan,2015430,2105368,2164205,2191395,2372000
Belarus,nan,68511,71866,73927,73181,nan
Ukraine,nan,424717,443038,449351,455970,nan
