Country,Extra Info,2016,2017,2018,2019,2020
Algeria,Total,180404,174168,nan,nan,nan
Botswana,Total,12825,12386,12609,13185,nan
Cabo Verde,Total,2580,2497,nan,nan,nan
Saint Helena,Total,45,58,52,38,49
Sao Tome and Principe,Total,1212,1202,nan,nan,nan
Seychelles,Total,747,nan,818,nan,668
Anguilla,Total,83,nan,nan,nan,nan
Antigua and Barbuda,Total,781,707,nan,nan,nan
Bahamas,Total,2288,2372,nan,nan,nan
Belize,Total,1805,1872,1886,1993,2158
Bermuda,Total,492,481,535,535,566
British Virgin Islands,Total,120,155,nan,nan,nan
Canada,Total,267213,276689,283706,284085,nan
Cayman Islands,Total,193,216,214,250,215
Costa Rica,Total,22603,23251,23786,24292,26209
Cuba,Total,99388,106949,106196,109089,nan
Curaçao,Total,1482,1420,1399,1387,nan
Dominica,Total,686,nan,nan,nan,nan
Dominican Republic,Total,43971,43002,42199,44024,42789
El Salvador,Total,38931,39835,38595,40666,nan
Greenland,Total,487,499,487,548,520
Jamaica,Total,19761,19661,19762,18233,nan
Mexico,Total,684437,693848,704803,734001,1086094
Panama,Total,18882,19482,19720,20049,23652
Puerto Rico,Total,29649,31140,29288,29652,31679
Saint Barthélemy,Total,43,32,33,45,nan
Saint Lucia,Total,1243,1199,nan,nan,nan
Saint Pierre and Miquelon,Total,46,58,43,38,nan
Saint Vincent and the Grenadines,Total,930,911,965,1023,nan
Saint-Martin (French),Total,140,136,99,145,nan
Sint Maarten (Dutch),Total,160,172,nan,nan,nan
Trinidad and Tobago,Total,11460,11410,11564,11266,nan
Turks and Caicos Islands,Total,89,125,102,122,132
United States of America,Total,2744248,2813503,2839205,2854838,nan
Argentina,Total,352992,341688,336823,341728,nan
Bolivia,Total,49325,48195,49546,49968,nan
Brazil,Total,1274630,1277579,1283496,nan,nan
Colombia,Total,223078,227624,nan,244355,nan
French Guiana,Total,901,964,899,1020,990
Guyana,Total,5109,nan,nan,nan,nan
Paraguay,Total,27243,26404,29139,30512,nan
Suriname,Total,3591,3508,3763,3955,nan
Uruguay,Total,34273,33173,34128,34807,nan
Venezuela,Total,188725,190236,nan,nan,nan
Armenia,Total,28226,27157,25751,26186,36170
Azerbaijan,Total,56648,57109,57250,55916,75647
Bahrain,Total,2858,2902,3052,3010,nan
Bangladesh,Total,820080,829770,823000,815850,852254
Brunei Darussalam,Total,1632,1696,1612,1757,nan
China,Total,9770000,9860000,9930000,9980000,nan
China Hong Kong SAR,Total,46905,46829,47400,48957,nan
China Macao SAR,Total,2248,nan,nan,nan,230
Iran,Total,369751,376678,377193,377622,nan
Iraq,Total,140111,142766,nan,nan,nan
Israel,Total,44244,44923,44850,46282,48703
Japan,Total,1308158,1340567,1362470,1381093,nan
Kazakhstan,Total,131231,129009,130448,133128,161333
Kuwait,Total,6338,6679,6807,7306,nan
Malaysia,Total,162201,168168,172031,173746,166507
Maldives,Total,1226,1241,1216,1041,nan
Myanmar,Total,213187,231210,264620,nan,nan
Philippines,Total,582183,579237,590709,620414,811
Qatar,Total,2347,2294,2385,2200,nan
South Korea,Total,280827,285534,298820,295110,nan
Singapore,Total,20017,20905,21282,21446,nan
Sri Lanka,Total,130765,139822,139498,146053,132431
Palestine,Total,12202,11778,12452,12602,nan
Thailand,Total,469085,nan,nan,494339,501438
Turkey,Total,422964,426662,426449,435941,nan
Uzbekistan,Total,154791,160723,154913,154570,175625
Yemen,Total,25927,31999,nan,nan,nan
Åland Islands,Total,297,235,272,nan,291
Albania,Total,21388,22232,21804,21937,27605
Andorra,Total,310,323,335,301,419
Austria,Total,80669,83270,83975,83386,91599
Belarus,Total,119379,119311,120053,120913,nan
Belgium,Total,108097,109666,110693,108783,126896
Bosnia and Herzegovina,Total,35530,36336,37744,38829,nan
Bulgaria,Total,107580,109791,108526,108083,124735
Denmark,Total,52824,53261,55232,53958,54645
Estonia,Total,15392,15543,15751,15401,15811
Faroe Islands,Total,379,447,394,411,365
Germany,Total,910899,932263,954874,939520,985572
Hungary,Total,127098,131877,131247,129892,141326
Ireland,Total,30390,30317,31009,30959,31765
Isle of Man,Total,852,837,876,850,938
Italy,Total,615261,649061,633133,634417,746146
Malta,Total,3967,4263,4318,4283,4609
Montenegro,Total,6464,6523,6504,6595,7293
Netherlands,Total,148997,150214,153363,151885,168678
Moldova,Total,25630,nan,24454,nan,nan
Slovakia,Total,52351,53914,54293,nan,53234
United Kingdom,Total,595655,605748,614313,603064,688632
American Samoa,Total,280,nan,298,nan,322
Cook Islands,Total,64,93,121,105,nan
Fiji,Total,7476,6992,nan,nan,nan
French Polynesia,Total,1394,1608,1616,1563,1636
Guam,Total,1022,1008,1056,1035,nan
Marshall Islands,Total,353,nan,nan,nan,nan
Nauru,Total,100,94,nan,nan,nan
New Caledonia,Total,1569,1529,nan,nan,nan
New Zealand,Total,31179,33339,33216,34260,32613
Niue,Total,7,14,19,14,12
Northern Mariana Islands,Total,220,232,221,209,nan
Palau,Total,175,183,143,nan,nan
Pitcairn,Total,nan,nan,nan,3,nan
Samoa,Total,2020,1037,1114,1712,1908
Tuvalu,Total,90,nan,86,140,136
