Country,Extra Info,1985,1986,1987,1988,1989
Algeria,nan,137974,nan,nan,nan,nan
Angola,nan,nan,nan,nan,nan,nan
Botswana,nan,1749,4623,3488,nan,nan
Burkina Faso,nan,nan,nan,nan,nan,nan
Burundi,nan,nan,nan,nan,nan,nan
Cabo Verde,nan,2735,nan,nan,nan,nan
Central African Republic,nan,nan,nan,nan,nan,nan
Chad,nan,nan,nan,nan,nan,nan
Comoros,nan,nan,7500,nan,nan,nan
Congo,nan,nan,nan,nan,nan,nan
Côte d'Ivoire,nan,nan,nan,nan,nan,nan
Djibouti,nan,nan,nan,nan,nan,nan
Egypt,nan,442258,468000,466161,nan,nan
Equatorial Guinea,nan,nan,nan,nan,nan,nan
Ethiopia,nan,nan,nan,nan,nan,nan
Gabon,nan,nan,nan,nan,nan,nan
Gambia,nan,nan,nan,nan,nan,nan
Ghana,nan,nan,nan,nan,nan,nan
Guinea,nan,nan,nan,nan,nan,nan
Guinea-Bissau,nan,nan,nan,nan,nan,nan
Kenya,nan,nan,nan,nan,nan,nan
Lesotho,nan,nan,nan,nan,nan,nan
Liberia,nan,nan,nan,nan,nan,nan
Libya,nan,nan,nan,nan,nan,nan
Madagascar,nan,nan,nan,nan,nan,nan
Malawi,nan,nan,nan,nan,nan,nan
Mali,nan,nan,nan,96221,nan,nan
Mauritania,nan,nan,nan,nan,nan,nan
Mauritius,nan,6691,6622,6581,6699,6946
Morocco,nan,64262,65472,74704,-78000,nan
Niger,nan,nan,nan,nan,nan,nan
Nigeria,nan,1531033,1570689,1622522,1679310,nan
Reunion,nan,3018,3047,3090,3253,nan
Rwanda,nan,nan,nan,nan,nan,nan
St. Helena,nan,43,53,40,nan,nan
Tristan da Cunha,nan,2,1,4,3,nan
Sao Tome and Principe,nan,1065,1253,1022,1302,1179
Seychelles,nan,468,498,505,504,563
Sierra Leone,nan,30055,36889,nan,nan,nan
Somalia,nan,nan,nan,nan,nan,nan
South Africa,nan,nan,nan,nan,nan,nan
Sudan,nan,nan,nan,nan,nan,nan
Eswatini,nan,nan,nan,nan,nan,nan
Tunisia,nan,35963,35500,nan,33839,nan
Uganda,nan,nan,nan,nan,nan,nan
United Rep. of Tanzania,nan,nan,nan,nan,nan,nan
DR Congo,nan,nan,nan,nan,nan,nan
Zambia,nan,nan,nan,nan,nan,nan
Zimbabwe,nan,nan,23023,nan,nan,nan
Anguilla,nan,73,nan,nan,nan,nan
Antigua and Barbuda,nan,405,383,364,nan,nan
Aruba,nan,nan,nan,nan,335,nan
Bahamas,nan,1341,1407,1376,1319,nan
Barbados,nan,nan,2127,2195,2233,2270
Belize,nan,nan,nan,nan,nan,nan
Bermuda,nan,693,415,675,399,479
British Virgin Islands,nan,65,82,83,59,77
Canada,nan,181323,184224,184953,190011,nan
Cayman Islands,nan,nan,129,103,nan,nan
Costa Rica,nan,10493,10449,10687,10944,nan
Cuba,nan,64430,63145,65079,67944,67212
Dominican Republic,nan,27844,nan,nan,nan,nan
El Salvador,nan,27225,25731,nan,nan,nan
Greenland,nan,436,446,445,442,nan
Guadeloupe,nan,2309,2238,nan,nan,nan
Guatemala,nan,69455,69275,66703,64837,nan
Haiti,nan,nan,nan,nan,nan,nan
Honduras,nan,13918,13341,nan,12167,nan
Jamaica,nan,2132,2112,2149,2092,nan
Martinique,nan,nan,nan,nan,nan,nan
Mexico,nan,414003,nan,nan,nan,nan
Montserrat,nan,124,123,nan,nan,nan
Netherlands Antilles,nan,nan,1046,1110,1219,nan
Nicaragua,nan,8991,27008,nan,nan,nan
Panama,nan,nan,8942,9105,8727,8716
Puerto Rico,nan,23194,nan,23954,25123,25937
Saint Kitts and Nevis,nan,441,461,nan,902,816
Saint Lucia,nan,824,843,934,nan,nan
St. Vincent and the Grenadines,nan,nan,655,nan,nan,nan
Trinidad and Tobago,nan,nan,nan,8054,8036,nan
United States,nan,2086440,2105361,2127000,2171000,nan
United States Virgin Islands,nan,547,508,558,nan,nan
Argentina,nan,241377,nan,250226,263655,nan
Bolivia,nan,nan,nan,nan,nan,nan
Brazil,nan,806238,834927,816397,74435,nan
Chile,nan,73534,72209,nan,nan,nan
Colombia,nan,51134,50957,51567,52732,nan
Ecuador,nan,nan,nan,nan,nan,nan
Falkland Islands,nan,27,26,nan,28,nan
French Guiana,nan,501,491,nan,nan,nan
Guyana,nan,nan,nan,nan,nan,nan
Paraguay,nan,nan,nan,nan,nan,nan
Peru,nan,nan,nan,29885,nan,29658
Suriname,nan,14094,nan,13197,nan,nan
Uruguay,nan,28566,nan,nan,nan,nan
Venezuela,nan,78938,77647,80322,81442,nan
Afghanistan,nan,nan,nan,nan,nan,nan
Bahrain,nan,1212,1423,1584,1523,nan
Bangladesh,nan,1195137,1213820,1173414,1178620,nan
Bhutan,nan,nan,nan,nan,nan,nan
Brunei Darussalam,nan,794,723,765,777,nan
Cambodia,nan,nan,nan,nan,nan,nan
China,nan,nan,nan,6037,nan,6100
Cyprus,nan,5653,5629,nan,6028,nan
Democratic Yemen,nan,nan,nan,nan,nan,nan
East Timor,nan,nan,nan,nan,nan,nan
Hong Kong,nan,25248,25902,26916,27595,nan
India,nan,nan,nan,1344410,nan,nan
Indonesia,nan,1846431,nan,nan,nan,nan
Iran,nan,nan,190061,204220,204220,nan
Iraq,nan,72055,75270,77906,nan,nan
Israel,nan,28093,29415,29244,29410,28600
Japan,nan,752283,750620,751172,793014,791000
Jordan,nan,8731,8853,8591,9416,nan
North Korea,nan,nan,nan,nan,nan,nan
South Korea,nan,237466,236501,239244,nan,nan
Kuwait,nan,nan,nan,nan,nan,nan
Laos,nan,nan,nan,nan,nan,nan
Lebanon,nan,nan,nan,nan,nan,nan
Macau,nan,1466,1324,1321,1437,1516
Malaysia,nan,68367,66475,65282,68930,nan
Maldives,nan,1607,1511,1525,1526,nan
Mongolia,nan,18700,16400,nan,nan,nan
Myanmar,nan,nan,nan,nan,nan,nan
Nepal,nan,nan,nan,nan,nan,nan
Oman,nan,nan,nan,nan,nan,nan
Pakistan,nan,nan,nan,nan,nan,nan
Philippines,nan,839247,760969,809163,852341,261785
Qatar,nan,794,784,788,861,nan
Saudi Arabia,nan,nan,nan,nan,nan,nan
Singapore,nan,13348,nan,13173,13690,13946
Sri Lanka,nan,98013,12821,nan,nan,nan
Syrian Arab Republic,nan,60989,50711,51581,44899,nan
Thailand,nan,225088,218025,232968,231227,nan
Turkey,nan,nan,nan,nan,nan,nan
United Arab Emirates,nan,nan,nan,nan,nan,nan
Vietnam,nan,nan,nan,nan,nan,nan
Yemen,nan,nan,nan,nan,nan,nan
Albania,nan,17179,17369,17119,17027,nan
Andorra,nan,165,179,176,206,209
Austria,nan,89578,87071,84907,nan,nan
Belgium,nan,110770,110466,105622,nan,82844
Bulgaria,nan,107485,104039,107213,107385,nan
Channel Islands,nan,1483,1488,1416,1399,nan
Guernsey,nan,608,614,571,589,nan
Jersey,nan,875,874,845,810,nan
Czechoslovakia,nan,184105,185718,179224,178000,181628
Denmark,nan,58378,58100,58136,59034,59420
Faeroe Islands,nan,335,367,367,410,nan
Finland,nan,49026,nan,nan,49072,49072
France,nan,48198,47135,47968,nan,nan
German Democratic Rep.,nan,552496,546926,527466,524000,nan
Germany Federal Rep.,nan,225353,223521,213872,213111,205709
Gibraltar,nan,704296,701890,687419,687516,692723
Greece,nan,276,290,217,293,219
Vatican City,nan,92886,91469,95232,93031,nan
Hungary,nan,nan,1,142601,nan,nan
Iceland,nan,147614,147089,1724,140042,nan
Ireland,nan,1652,nan,nan,1818,nan
Isle of Man,nan,33213,1598,31413,nan,nan
Italy,nan,1045,33630,925,31625,31103
Liechtenstein,nan,nan,537453,524999,991,nan
Luxembourg,nan,547436,nan,nan,532060,nan
Malta,nan,171,188,180,nan,nan
Netherlands,nan,4027,3970,4012,3840,nan
Norway,nan,2837,2824,2908,2708,nan
Poland,nan,122704,125307,122181,124163,128893
Portugal,nan,44372,43560,nan,nan,nan
Romania,nan,nan,nan,44959,45354,44957
San Marino,nan,381458,376316,378365,370821,nan
Spain,nan,97339,95828,nan,98236,nan
Sweden,nan,nan,nan,95423,nan,247300
Switzerland,nan,246670,nan,nan,nan,nan
United Kingdom,nan,188,171,154,nan,nan
Yugoslavia,nan,308430,306613,nan,94000,nan
American Samoa,nan,156,170,156,197,nan
Australia,nan,118808,114981,117321,118929,nan
Christmas Island,nan,2,nan,nan,nan,nan
Cocos Keeling Islands,nan,1,2,nan,nan,nan
Cook Islands,nan,80,90,nan,nan,nan
Fiji,nan,3680,3917,nan,nan,nan
French Polynesia,nan,441,451,486,834,1021
Guam,nan,nan,nan,nan,nan,nan
New Caledonia,nan,874,864,864,nan,nan
New Zealand,nan,27480,27045,27419,nan,27042
Niue,nan,16,22,13,nan,nan
Norfolk Island,nan,nan,nan,nan,nan,nan
Pacific Islands,nan,nan,nan,nan,9,nan
Northern Mariana Islands,nan,95,120,nan,112,nan
Palau,nan,nan,nan,nan,nan,nan
Papua New Guinea,nan,40880,nan,42540,nan,nan
Pitcairn,nan,nan,nan,nan,nan,nan
Tonga,nan,343,nan,nan,nan,nan
Russia,nan,2947068,2737351,2804785,2888753,nan
