Maldives,Total,1213,nan,nan,nan
Mongolia,Total,17550,16980,15799,nan
Nepal,Total,nan,nan,nan,nan
Oman,Total,nan,nan,nan,nan
Pakistan,Total,nan,nan,nan,nan
Philippines,Total,344643,1060,nan,nan
Qatar,Total,1015,nan,nan,nan
Saudi Arabia,Total,15590,nan,nan,68521
Singapore,Total,104707,15307,15656,112657
Sri Lanka,Total,122161,113078,nan,nan
Syrian Arab Republic,Total,53786,53366,nan,nan
Tajikistan,Total,nan,nan,57893,nan
Thailand,Total,nan,nan,nan,24900
Turkey,Total,404000,395000,402000,438000
United Arab Emirates,Total,nan,nan,nan,nan
Uzbekistan,Total,144829,137331,nan,140526
Vietnam,Total,nan,nan,nan,nan
Yemen,Total,nan,nan,nan,nan
Albania,Total,17600,18237,18250,nan
Andorra,Total,nan,197,235,nan
Austria,Total,80790,79432,78339,77243
Belarus,Total,133422,136653,137296,141805
Belgium,Total,105312,104190,103802,nan
Bosnia and Herzegovina,Total,105312,104190,103802,nan
Bulgaria,Total,117056,nan,nan,107865
Channel Islands,Total,54,556,540,529
Croatia,Total,50636,51964,52311,51953
Czech Republic,Total,112782,112744,109527,109768
Denmark,Total,nan,32823,nan,nan
Estonia,Total,61043,59898,nan,59156
Faeroe Islands,Total,395,nan,nan,nan
Finland,Total,49167,49108,49262,49300
France,Total,535775,530319,540400,541600
Germany,Total,nan,860389,851412,nan
Gibraltar,Total,882,884,852,852
Greece,Total,100,99738,102868,104190
Hungary,Total,143130,139434,140870,143000
Iceland,Total,1879,1844,1821,nan
Ireland,Total,31743,31605,31352,31683
Isle of Man,Total,14729,nan,nan,nan
Italy,Total,550431,582303,576911,nan
Latvia,Total,34320,33533,34200,32850
Liechtenstein,Total,230,230,nan,nan
Lithuania,Total,42896,nan,41143,40757
Luxembourg,Total,3895,3937,nan,3793
Malta,Total,3895,3937,nan,3793
Netherlands,Total,2765,2888,nan,3097
Norway,Total,49550,47985,88815,45139
Poland,Total,365496,360201,375354,361415
Portugal,Total,107259,105157,106382,108268
Moldova,Total,49748,50614,39922,41314
Romania,Total,286158,279315,269166,265194
Russia,Total,2082249,2015779,1988744,2144316
San Marino,Total,173,178,nan,nan
Slovakia,Total,51236,52080,53156,52402
Slovenia,Total,18620,18928,19039,18885
Spain,Total,351449,349521,nan,nan
Sweden,Total,94133,93326,92891,94726
Switzerland,Total,62637,59967,62569,58946
The Former Yugoslav Rep. of Macedonia,Total,16063,nan,nan,nan
Ukraine,Total,776717,754151,719954,739170
United Kingdom,Total,638896,629554,829172,829400
Yugoslavia,Total,111744,111845,111752,105984
Australia,Total,128719,129085,127952,128158
Cook,Total,106,143,101,nan
Fiji,Total,4605,nan,5241,nan
French Polynesia,Total,1029,1090,1113,nan
Guam,Total,nan,nan,nan,nan
Marshall Islands,Total,232,243,nan,nan
Micronesia,Total,421,nan,nan,nan
Nauru,Total,49,nan,nan,nan
New Caledonia,Total,1020,1016,982,nan
New Zealand,Total,28255,27471,26206,nan
Norfolk Island,Total,nan,nan,nan,nan
Palau,Total,144,121,125,131
Papua New Guinea,Total,nan,nan,nan,nan
Samoa,Total,352,nan,531,nan
Solomon Islands,Total,nan,nan,nan,nan
Tonga,Total,nan,467,498,nan
Vanuatu,Total,nan,nan,nan,nan
