Country,Extra Info,2006,2007,2008,2009,2010
Algeria,Total,144000,149000,153000,159000,157000
Botswana,Total,11509,11075,nan,nan,nan
Burkina Faso,Total,116199,176700,174800,nan,nan
Cabo Verde,Total,2822,2846,2873,2897,2917
Egypt,Total,451863,450596,461216,476592,nan
Senegal,Total,4984363,nan,nan,nan,nan
Mauritius,Total,4142,nan,9004,nan,9
South Africa,Total,612778,nan,662,684,nan
Tunisia,Total,nan,56741,nan,nan,nan
Zambia,Total,nan,nan,60000,nan,nan
Barbados,Total,2317,2213,nan,nan,nan
Bermuda,Total,461,468,443,471,nan
Canada,Total,228079,235217,240961,nan,nan
Cayman Islands,Total,182,160,166,152,152
Costa Rica,Total,16766,17070,18021,nan,nan
Dominican Republic,Total,31301,32620,32494,31580,nan
El Salvador,Total,31453,31349,31594,nan,nan
Greenland,Total,440,452,428,437,504
Guatemala,Total,69756,70030,70233,nan,nan
Mexico,Total,370811,513384,288798,362,nan
Nicaragua,Total,16595,17288,18079,nan,nan
Panama,Total,14358,14775,15115,498,nan
Puerto Rico,Total,28589,29276,29100,nan,nan
Saint Vincent and the Grenadines,Total,777,779,848,765,nan
United States of America,Total,2426264,2423712,2473018,nan,nan
Argentina,Total,292313,315852,301801,304525,nan
Bolivia,Total,25954,21846,nan,nan,nan
Brazil,Total,1023545,1032450,1060365,1079228,nan
Chile,Total,85639,93000,90168,nan,nan
Colombia,Total,192814,193936,196943,193580,nan
Ecuador,Total,57940,58016,60023,59714,nan
Paraguay,Total,22749,23025,24417,nan,nan
Peru,Total,82620,87495,91295,nan,nan
Suriname,Total,3247,3374,nan,nan,nan
Uruguay,Total,31056,33,363,nan,nan
Venezuela,Total,115348,118594,124062,nan,nan
Armenia,Total,27202,26830,27412,27560,27921
Azerbaijan,Total,52248,53655,52710,52514,53580
Bahrain,Total,2317,2270,2390,2387,nan
Bangladesh,Total,nan,nan,nan,nan,nan
Brunei Darussalam,Total,1095,1174,1091,nan,nan
China,Total,8920000,9130000,9350000,9430000,nan
China, Hong Kong SAR,Total,37457,39476,41796,41175,nan
China, Macao SAR,Total,1566,1545,1756,1664,1768
Cyprus,Total,5127,5391,5194,5182,5392
Georgia,Total,42255,41178,43011,nan,47864
India,Total,nan,nan,nan,nan,nan
Iran,Total,408566,412735,417798,nan,nan
Iraq,Total,211757,nan,nan,nan,nan
Israel,Total,38776,40081,nan,nan,nan
Japan,Total,1084450,1108334,1142407,1141865,nan
Jordan,Total,20397,20924,19403,nan,nan
Kazakhstan,Total,157210,158297,152706,142780,nan
Kuwait,Total,5247,5293,5701,nan,nan
Kyrgyzstan,Total,38566,38180,37710,35898,nan
Lebanon,Total,23636,23436,nan,22547,nan
Malaysia,Total,115084,118167,124857,128962,nan
Maldives,Total,1084,1119,1083,1163,nan
Mongolia,Total,16682,16259,15413,16911,17276
Myanmar,Total,247527,266206,483373,nan,nan
Oman,Total,5484,6769,7298,7098,nan
Pakistan,Total,1022625,1019533,nan,nan,nan
