Saudi Arabia,nan,nan,nan,nan,nan,nan
Singapore,nan,13876,14337,14461,14946,15569
Sri Lanka,nan,96940,98017,93752,nan,nan
Syria,nan,43970,46308,53854,57003,nan
Tajikistan,nan,33067,36718,49326,nan,nan
Thailand,nan,264350,275373,285737,305526,nan
Turkey,nan,391000,394000,398000,401000,405000
Turkmenistan,nan,nan,nan,nan,32067,nan
United Arab Emirates,nan,nan,nan,nan,4597,nan
Uzbekistan,nan,nan,139900,145294,nan,nan
Vietnam,nan,nan,nan,nan,nan,nan
Yemen,nan,nan,nan,nan,nan,nan
Albania,nan,17743,17238,16639,nan,nan
Andorra,nan,217,219,211,184,217
Austria,nan,83428,83162,82517,80684,80368
Belarus,nan,114650,116674,128544,130003,105933
Belgium,nan,105150,103741,106601,104894,105933
Bosnia and Herzegovina,nan,110423,107998,109540,nan,nan
Bulgaria,nan,110423,107998,109540,112632,112632
Channel Islands,nan,1446,1345,1555,111787,112632
Guernsey,nan,614,552,606,1427,112632
Jersey,nan,832,793,949,836,nan
Croatia,nan,54832,51800,50846,49482,nan
Czech Republic,nan,124290,120337,118185,117373,117913
Denmark,nan,59581,60821,62809,61148,63216
Estonia,nan,19705,20115,21267,22150,21071
Faroe Islands,nan,396,393,380,nan,nan
Finland,nan,49271,49523,50988,48000,49352
France,nan,524685,521530,531900,519965,529000
Germany,nan,911245,nan,884661,884661,875071
Gibraltar,nan,275,nan,275,nan,nan
Greece,nan,95498,98231,97419,97807,98000
Hungary,nan,144813,148781,150244,146889,144000
Iceland,nan,1796,1719,1753,1720,nan
Ireland,nan,31305,30930,31924,30744,31494
Isle of Man,nan,982,917,1011,902,nan
Italy,nan,553833,546690,543433,548081,nan
Latvia,nan,34749,35420,39197,41757,40080
Liechtenstein,nan,187,180,178,206,nan
Lithuania,nan,41013,41455,46107,46486,45306
Luxembourg,nan,3744,4022,3915,3800,3797
Malta,nan,2872,2900,2692,2698,2711
Netherlands,nan,129958,129887,137795,133471,136154
Norway,nan,44923,44731,46597,43800,45117
Poland,nan,405716,394729,392259,386398,384000
Portugal,nan,104361,101161,106384,97429,103939
Moldova,nan,nan,nan,46637,nan,nan
Romania,nan,251760,263855,263323,266101,271674
Russia,nan,1690657,1807441,2129339,2301366,2176400
San Marino,nan,54618,172,145,184,186
Slovakia,nan,172,145,184,51386,186
Slovenia,nan,19324,20012,20012,19359,52686
Spain,nan,nan,19333,nan,nan,18968
Sweden,nan,337691,331515,339161,335843,343965
Switzerland,nan,95202,94710,97008,91844,96910
North Macedonia,nan,14789,16022,15591,764669,nan
Ukraine,nan,646181,697110,741662,625897,nan
United Kingdom,nan,634238,634238,634238,625897,nan
Yugoslavia,nan,101573,105872,657852,105338,641700
American Samoa,nan,217,226,223,nan,nan
Australia,nan,119146,123660,121599,126692,4959
Fiji,nan,nan,nan,3837,nan,nan
French Polynesia,nan,1021,1057,1053,1075,625
Guam,nan,607,585,nan,nan,nan
Marshall Islands,nan,nan,nan,nan,213,49
Nauru,nan,978,nan,nan,nan,nan
New Caledonia,nan,nan,931,954,1060,nan
New Zealand,nan,26501,27249,27243,27092,27960
Norfolk Island,nan,nan,nan,nan,nan,15
Papua New Guinea,nan,nan,nan,nan,nan,nan
Pitcairn,nan,2,1,nan,nan,nan
Samoa,nan,nan,260,426,nan,nan
Solomon Islands,nan,411,nan,nan,nan,nan
Tonga,nan,nan,nan,nan,nan,nan
Vanuatu,nan,nan,nan,nan,nan,nan
