Country,Extra Info,1995,1996,1997,1998,1999
Algeria,Total,710597,654470,628342,620322,nan
Angola,Total,nan,nan,nan,nan,nan
Benin,Total,nan,nan,nan,nan,nan
Botswana,Total,52759,48476,49546,50606,53407
Burkina Faso,Total,nan,nan,nan,nan,nan
Burundi,Total,nan,nan,nan,nan,nan
Cameroon,Total,nan,nan,nan,nan,nan
Cape Verde,Total,nan,nan,nan,15460,nan
Central African Republic,Total,nan,nan,nan,nan,nan
Chad,Total,nan,nan,nan,nan,nan
Comoros,Total,nan,nan,nan,nan,nan
Congo,Total,nan,nan,nan,nan,nan
Cote d'Ivoire,Total,nan,nan,nan,nan,nan
Democratic Republic of the Congo,Total,nan,nan,nan,nan,nan
Djibouti,Total,nan,nan,nan,nan,nan
Egypt,Total,nan,nan,nan,nan,nan
Equatorial Guinea,Total,nan,nan,nan,nan,nan
Eritrea,Total,nan,nan,nan,nan,nan
Ethiopia,Total,nan,nan,nan,nan,2186023
Gabon,Total,nan,nan,nan,nan,nan
Gambia,Total,nan,nan,nan,nan,nan
Ghana,Total,nan,nan,nan,nan,nan
Guinea,Total,nan,nan,nan,nan,nan
Guinea-Bissau,Total,nan,nan,nan,nan,nan
Kenya,Total,nan,nan,nan,nan,nan
Lesotho,Total,nan,nan,nan,nan,nan
Liberia,Total,nan,nan,nan,nan,nan
Libyan Arab Jamahiriya,Total,nan,nan,nan,nan,nan
Madagascar,Total,88779,nan,nan,nan,nan
Malawi,Total,nan,nan,nan,nan,nan
Mali,Total,nan,nan,nan,nan,nan
Mauritania,Total,nan,nan,nan,nan,nan
Mauritius,Total,20604,20498,20012,19434,20313
Morocco,Total,561573,524584,552141,540907,nan
Mozambique,Total,nan,nan,nan,nan,nan
Namibia,Total,nan,nan,nan,nan,nan
Niger,Total,nan,nan,nan,nan,nan
Nigeria,Total,nan,nan,nan,nan,nan
Reunion,Total,13087,13073,13746,13538,14112
Rwanda,Total,nan,nan,nan,nan,nan
Saint Helena,Total,72,59,64,59,nan
Senegal,Total,nan,nan,nan,nan,nan
Seychelles,Total,1582,1611,1475,1412,1460
Sierra Leone,Total,nan,nan,nan,nan,nan
Somalia,Total,nan,nan,nan,nan,nan
South Africa,Total,809439,nan,1046095,nan,1368800
Sudan,Total,nan,nan,nan,nan,nan
Swaziland,Total,nan,nan,nan,nan,nan
Togo,Total,nan,nan,nan,nan,nan
Tunisia,Total,186416,178801,173757,186718,nan
Uganda,Total,nan,nan,nan,nan,nan
United Republic of Tanzania,Total,nan,nan,nan,nan,nan
Western Sahara,Total,nan,nan,nan,nan,nan
Zambia,Total,nan,nan,nan,nan,nan
Zimbabwe,Total,nan,nan,nan,nan,nan
Anguilla,Total,167,161,169,155,176
Antigua and Barbuda,Total,1347,nan,1448,nan,nan
Aruba,Total,1419,1452,nan,nan,nan
Bahamas,Total,6253,5873,nan,nan,nan
Barbados,Total,3473,3519,nan,nan,nan
Belize,Total,6623,6678,7348,5986,nan
Bermuda,Total,839,833,849,825,nan
Canada,Total,378011,366200,348598,nan,nan
Cayman Islands,Total,484,nan,nan,nan,nan
Costa Rica,Total,80306,79203,78018,76982,78526
Cuba,Total,147170,140276,152681,151080,150871
Dominica,Total,1501,1426,nan,nan,nan
Dominican Republic,Total,nan,nan,1340,1230,nan
El Salvador,Total,nan,nan,164556,179372,172917
Greenland,Total,1120,1066,1100,986,nan
Grenada,Total,2286,2096,nan,nan,nan
Guatemala,Total,371091,377723,380632,nan,nan
Haiti,Total,nan,nan,nan,nan,nan
Honduras,Total,nan,nan,nan,nan,nan
Jamaica,Total,63487,57370,59385,59249,56911
Martinique,Total,nan,nan,nan,nan,nan
Mexico,Total,2750444,2707718,2698425,2668428,nan
Netherlands Antilles,Total,3793,nan,nan,nan,nan
Nicaragua,Total,114452,109447,113498,111154,91670
Panama,Total,61939,63401,68009,62351,62348
Puerto Rico,Total,nan,63259,64214,60518,58544
Saint Kitts and Nevis,Total,nan,nan,nan,nan,nan
Saint Lucia,Total,75,nan,nan,2112,nan
Saint Pierre and Miquelon,Total,nan,74,nan,nan,nan
Saint Vincent and the Grenadines,Total,2614,2338,2311,nan,2106
Trinidad and Tobago,Total,19258,17992,18452,nan,nan
United States,Total,3899589,3891494,3880894,3944046,nan
Argentina,Total,658735,675437,692357,683301,nan
Bolivia,Total,100254,nan,nan,nan,nan
Brazil,Total,2357337,2412615,nan,nan,nan
Chile,Total,279928,284793,259959,257105,nan
Colombia,Total,993174,991277,990057,989071,989117
Ecuador,Total,181268,nan,nan,nan,218108
Falkland Islands,Total,20,nan,nan,nan,nan
Guyana,Total,nan,nan,nan,nan,nan
Paraguay,Total,nan,nan,nan,nan,nan
Peru,Total,617300,615300,613500,611600,609800
Suriname,Total,8717,9393,10794,nan,nan
Uruguay,Total,56695,58862,58032,54760,54055
Venezuela,Total,nan,nan,nan,808,nan
Afghanistan,Total,nan,nan,nan,nan,nan
Armenia,Total,48960,48134,43929,39366,nan
