Country,Extra Info,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
Spanish Sahara,nan,nan,487,509,nan,192,188,nan,121,116,nan,nan
Sudan,nan,nan,nan,nan,nan,nan,nan,530551,nan,nan,nan,nan
Swaziland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Swaziland,European Population,123,nan,nan,60,80,nan,98,nan,nan,nan,nan
Togo,African Population,184209,87,11240,83,13984,15860,20449,78,27859,37678,81
Tunisia,nan,nan,106235,129000,119981,105469,116638,119774,134489,140505,157741,181144
Uganda,nan,3283,nan,nan,nan,nan,nan,nan,nan,nan,nan,3321
Uganda,Non-African Population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
United Arab Republic,nan,nan,904941,934584,969443,934830,957158,926500,958880,3356,914494,1013743
United Republic of Tanzania,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
United Republic of Tanzania,Zanzibar,6538,5541,5359,5198,3835,5548,5463,5561,5211,5204,nan
Upper Volta,African Population,nan,nan,nan,nan,nan,37432,nan,nan,nan,nan,nan
Zambia,Asian Population,nan,nan,nan,1,nan,278,302,365,nan,nan,nan
Zambia,European Population,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Zambia,population,2297,1036,1200,318,nan,1686,1814,nan,416,2208,470
Antigua,nan,1831,1654,2532,6432,1138,1676,2739,1612,2714,7291,1687
Bahamas,nan,nan,nan,6793,1046,1095,7304,1026,7576,102,1052,7082
Barbados,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bermuda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
British Virgin Islands,nan,nan,nan,nan,3028,311,2986,3231,305,3463,3725,3615
British Honduras,nan,4016,2657,2905,nan,318,nan,292,nan,nan,nan,nan
Cayman Islands,nan,306,227,282,197,nan,nan,nan,317,317,315,nan
Canada,nan,479275,372009,381092,nan,417884,436198,442937,450739,469093,470118,nan
Costa Rica,nan,57939,198,37498,213,403559,244,45668,237,nan,226,50238
Cuba,nan,204300,235,51840,248,53200,207,54481,272,nan,nan,nan
Dominica,nan,2770,163122,1848,142693,41909,143750,nan,nan,nan,2416,188100
Dominican Republic,nan,115151,79298,1965,74762,2091,94322,2080,95052,2345,103010,2543
El Salvador,nan,nan,90557,nan,nan,98474,102009,105040,1238,106539,1293,114929
Greenland,nan,1490,115622,93634,999,96802,1115,1135,nan,nan,nan,115154
Grenada,nan,nan,1065,2962,3037,1037,3119,nan,nan,nan,3627,nan
Guadeloupe,nan,4115,3283,3507,8941,3919,nan,nan,nan,4664,9401,4253
Guatemala,nan,181740,7702,8319,151416,60891,8463,151,8720,65591,nan,9506
Honduras,nan,78874,142673,57636,nan,865,60646,156377,51131,162773,67413,53630
Jamaica,nan,589606,46459,48561,48902,9409,9558,55767,69887,58177,10502,63517
Martinique,nan,1,8420,174947,8750,1183788,nan,1261775,1339837,9770,1377917,10146
Mexico,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Montserrat,nan,391,406,436,8712,195209,423,424,429,428,nan,373
Netherlands Antilles,nan,nan,nan,nan,5849,6117,6094,nan,nan,nan,6548,nan
Nicaragua,nan,63297,5798,43618,5828,44989,48337,49312,51773,6036,396,6071
Panama,nan,763,24899,24924,1897,29013,2028,33269,1722,34592,1819,35582
Panama,Canal Zone,nan,1852,86038,1682,1741,1959,80438,1832,77,754,1964
Puerto Rico,nan,75104,77830,2494,78284,2418,76058,2697,76298,2520,nan,nan
St. Kitts-Nevis-Anguilla,nan,nan,nan,84076,nan,nan,832,2226,nan,nan,nan,nan
St. Lucia,nan,4108,2820,2892,2906,3069,3090,118,3549,131,3571,3924
St. Pierre and Miquelon,nan,nan,133,nan,127,108,nan,nan,116,127,nan,nan
St. Vincent,nan,4051,2662,2930,2906,3069,3117,3607,3601,4261,3930,nan
Trinidad and Tobago,nan,30592,23722,23804,22923,25565,29253,30216,27447,28848,29667,nan
Turks and Caicos Islands,nan,nan,240,3571928,239,3769701,243,3868317,206,3925007,238,4040602
United States,nan,4261896,4257850,4268326,252,238,4098020,211,149,199,137,163
United States Virgin Islands,nan,1107,894,953,862,871,879,913,977,1038,1129,nan
Argentina,nan,476211,438766,444326,446156,459734,457559,461293,474142,478368,472865,nan
Bolivia,nan,100454,127089,126345,127706,129471,131792,133342,99979,82927,94233,nan
Brazil,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brazil,State Capitals,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Chile,nan,267657,206582,209794,225758,164460,222956,179994,220968,179003,237213,180721
Colombia,nan,608670,413721,nan,nan,nan,nan,511011,538485,563037,585561,nan
Ecuador,nan,191991,149153,419384,152999,436406,155641,471019,474585,156719,166977,178520
Falkland Islands (Malvinas),nan,41,35,45,515,46,49,48,48,41,46,nan
French Guiana,nan,1043,590,558,781,720,900,941,949,993,940,nan
Guyana,nan,23470,16404,17700,18971,19445,19449,20185,20733,22032,22731,nan
Guyana,Amerindian Population,997,581,6157,584,703,814,888,935,951,930,nan
Paraguay,nan,366399,65094,258556,nan,nan,nan,nan,315786,327680,346945,nan
Peru,nan,11757,250823,nan,268053,287426,300107,313437,nan,10001,11151,nan
Surinam,nan,nan,6863,7710,8453,8878,9154,9458,10177,nan,nan,nan
Uruguay,nan,56589,44748,212096,45281,224553,46710,230703,47464,2150943,49888,262134
Venezuela,nan,324739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brunei,nan,4201,2316,2805,2809,2903,3332,3600,4076,3320,4399,nan
Burma,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Burma,Towns,91395,47030,60526,64362,67541,72596,75557,82928,82679,84129,nan
