Country,Extra Info,2006,2007,2008,2009,2010
Algeria,Total,739 000,783 000,817 000,849 000,888 000
Botswana,Total,44 709,nan,nan,nan,nan
Antigua and Barbuda,Total,1 199,1 240,nan,nan,nan
Aruba,Total,1 227,1 239,1 218,1 213,1 141
Bahamas,Total,5 296,5 854,5 124,5 027,nan
Barbados,Total,3 414,3 537,nan,nan,nan
Bermuda,Total,798,859,821,819,nan
Canada,Total,354 617,367 864,377 886,nan,nan
Cayman Islands,Total,710,744,793,824,821
Costa Rica,Total,71 291,73 144,75 187,75 000,70 922
Dominica,Total,1 058,nan,nan,nan,nan
Armenia,Total,37 639,40 105,41 185,44 413,44 825
Azerbaijan,Total,148 946,151 963,152 086,152 139,165 643
Bahrain,Total,15 053,16 062,17 022,17 841,nan
Brunei Darussalam,Total,6 526,6 314,6 424,nan,nan
China,Total,15 840 000,15 940 000,16 080 000,16 150 000,nan
China Hong Kong SAR,Total,4 058,4 537,4 717,4 764,5 114
China Macao SAR,Total,875,nan,nan,82 095,nan
Cyprus,Total,8 731,8 575,9 205,9 608,9 989
Israel,Total,148 170,151 679,156 923,161 042,165 950
Japan,Total,1 092 674,1 089 818,1 091 156,1 070 035,nan
Jordan,Total,162 972,185 011,181 328,nan,nan
Kazakhstan,Total,301 756,321 963,356 575,357 552,nan
Kuwait,Total,nan,53 587,54 571,nan,nan
Kyrgyzstan,Total,120 737,123 251,127 332,135 494,nan
Lebanon,Total,72 790,80 896,84 823,90 388,95 218
Malaysia,Total,465 112,472 048,487 346,481 669,nan
Maldives,Total,2 707,3 083,3 349,7 423,nan
Mongolia,Total,49 092,56 636,63 40 590,68 762,65 889
Myanmar,Total,857 306,859 248 713,890 248 600,nan,nan
Oman,Total,49 944,53 498,58 280,64 735,nan
Pakistan,Total,3 802 928,3 830 973,nan,nan,nan
Philippines,Total,nan,1 749 878,nan,nan,nan
Qatar,Total,14 120,nan,210,nan,nan
Republic of Korea,Total,448 153,493 189,18,351,18 576
Saudi Arabia,Total,589 223,595 099,598 126,nan,nan
Singapore,Total,38 317,39 490,39 826,39 570,nan
Sri Lanka,Total,373 538,386 573,379 912,376 843,364 565
Syrian Arab Republic,Total,656 599,727 439,nan,670 793,nan
Tajikistan,Total,186 463,200 010,203 332,nan,nan
Thailand,Total,793 623,797 588,784 256,765 047,nan
Turkey,Total,1 277 000,1 275 000,1 272 000,1 270 000,1 279 000
United Arab Emirates,Total,62 969,67 689,nan,nan,nan
Viet Nam,Total,1 243 463,1 326 464,nan,nan,nan
Yemen,Total,298 437,256 288,nan,nan,nan
Åland Islands,Total,295,286,294,267,286
Albania,Total,843,826,875,838,828
Andorra,Total,77 914,76 250,77 752,76 344,78 742
Austria,Total,96 721,103 626,107 876,109 263,108 050
Belarus,Total,121 382,120 663,128 049,127 297,127 000
Belgium,Total,34 033,33 835,34 176,34 550,33 779
Bosnia and Herzegovina,Total,73 978,75 349,77 712,80 956,75 513
Bulgaria,Total,41 446,41 910,43 753,44 577,nan
Croatia,Total,105 114,114 632,119 570,118 348,117 153
Czech Republic,Total,64 933,64 095,65 038,62 818,63 411
Denmark,Total,14 877,15 775,16 028,15 763,15 825
Estonia,Total,662,674,nan,nan,nan
Faeroe Islands,Total,251 411,237 437,nan,nan,nan
Finland,Total,58 840,58 729,59 530,60 163,60 694
France,Total,796 896,785 985,796 044,793 420,797 000
Germany,Total,672 724,684 862,682 514,665 126,681 000
Gibraltar,Total,373,400,400,nan,nan
Greece,Total,112 042,111 926,118 302,117 933,109 982
Guernsey,Total,598,645,631,675,nan
Hungary,Total,99 871,97 613,99 149,96 442,90 335
Iceland,Total,4 415,4 560,4 835,5 027,4 907
Ireland,Total,64 237,70 620,75 065,74 278,73 940
Isle of Man,Total,905,919,nan,nan,nan
Italy,Total,560 010,563 933,576 659,568 857,561 980
Jersey,Total,962,1 031,973,1 677,849
Latvia,Total,22 264,23 273,23 948,21 849,19 219
Liechtenstein,Total,361,351,350,406,329
Lithuania,Total,31 265,32 346,35 065,36 682,35 626
Luxembourg,Total,5 514,5 477,5 596,5 638,5 874
Malta,Total,3 885,3 871,4 126,4 143,3 999
Monaco,Total,880,nan,nan,nan,nan
Montenegro,Total,7 531,7 834,8 258,8 642,7 415
Netherlands,Total,185 057,181 125,184 634,184 915,183 866
Norway,Total,58 545,58 459,60 497,61 807,61 442
Poland,Total,374 244,387 873,414 499,417 589,413 300
Portugal,Total,105 449,102 492,104 594,99 491,101 320
Republic of Moldova,Total,37 587,37 973,39 018,40 803,40 474
Romania,Total,219 483,214 728,221 900,222 388,212 199
Russian Federation,Total,1 479 637,1 610 122,1 713 947,1 761 687,1 788 948
San Marino,Total,302,292,349,306,nan
Serbia,Total,70 997,68 102,69 083,70 299,68 304
Slovakia,Total,53 904,54 424,57 360,61 217,60 410
Slovenia,Total,18 932,19 823,21 817,21 856,21 687
Spain,Total,482 957,492 527,519 779,494 997,479 999
Sweden,Total,105 913,107 421,109 301,111 801,115 641
Switzerland,Total,73 371,74 494,76 691,78 286,80 000
TFYR of Macedonia,Total,22 585,22 688,22 945,23 684,24 296
Ukraine,Total,306 635,472 657,510 589,512 526,497 689
United Kingdom,Total,748 563,772 245,794 383,nan,778 823
American Samoa,Total,1 442,nan,nan,nan,nan
Australia,Total,265 949,285 213,296 621,295 738,nan
Cook Islands,Total,278,289,261,255,nan
Fiji,Total,18 394,19 298,18 944,18 854,nan
French Polynesia,Total,4 592,4 434,4 628,nan,nan
Guam,Total,3 414,3 493,3 466,3 423,nan
Marshall Islands,Total,1 576,nan,nan,nan,nan
Micronesia,Total,2 148,nan,nan,nan,nan
Nauru,Total,120,nan,nan,nan,nan
New Caledonia,Total,4 224,2 678,4 015,nan,nan
New Zealand,Total,59 193,64 044,64 343,62 543,nan
Niue,Total,35,28,20,31,nan
Norfolk Island,Total,22,22,22,nan,nan
Northern Mariana Islands,Total,1 422,1 384,1 260,nan,nan
Palau,Total,259,nan,nan,nan,nan
Pitcairn,Total,nan,1,1,nan,nan
Samoa,Total,3 171,528,2 371,1 602,nan
Tonga,Total,2 945,nan,nan,nan,nan
Tuvalu,Total,217,214,nan,nan,nan
