Country,Extra Info,1991,1992,1993,1994,1995
Algeria,nan,773000,799000,776000,nan,nan
Angola,nan,nan,nan,nan,nan,nan
Benin,nan,nan,nan,nan,nan,nan
Botswana,nan,nan,nan,nan,nan,nan
Burkina Faso,nan,nan,nan,nan,nan,nan
Burundi,nan,nan,nan,nan,nan,nan
Cape Verde,nan,12289,9671,nan,nan,nan
Central African Republic,nan,nan,nan,nan,124707,nan
Chad,nan,nan,nan,nan,nan,nan
Comoros,nan,nan,nan,nan,nan,nan
Congo,nan,nan,nan,nan,nan,nan
Cote d'Ivoire,nan,595000,675000,635000,656000,677000
Djibouti,nan,nan,nan,nan,nan,nan
Egypt,nan,1636551,1496866,1644247,1719971,nan
Equatorial Guinea,nan,nan,nan,nan,nan,nan
Eritrea,nan,nan,nan,nan,nan,nan
Ethiopia,nan,nan,nan,nan,nan,nan
Gabon,nan,nan,nan,nan,nan,nan
Gambia,nan,nan,nan,nan,nan,nan
Ghana,nan,nan,nan,nan,nan,nan
Guinea,nan,nan,nan,nan,nan,nan
Guinea-Bissau,nan,nan,nan,nan,nan,nan
Kenya,nan,377765,326553,nan,nan,nan
Lesotho,nan,nan,nan,nan,nan,nan
Liberia,nan,nan,nan,nan,nan,nan
Libyan Arab Jamahiriya,nan,nan,nan,nan,nan,nan
Madagascar,nan,193200,nan,nan,nan,nan
Malawi,nan,nan,nan,nan,nan,nan
Mali,nan,nan,nan,nan,nan,nan
Mauritania,nan,nan,nan,97773,700376,703307
Mauritius,nan,22182,22741,22051,21704,20549
Morocco,nan,562786,577340,nan,nan,nan
Mozambique,nan,nan,nan,nan,nan,nan
Namibia,nan,nan,nan,nan,nan,nan
Niger,nan,nan,nan,nan,nan,nan
Nigeria,nan,nan,nan,nan,nan,nan
Reunion,nan,14107,nan,nan,nan,nan
Rwanda,nan,nan,nan,nan,nan,nan
St. Helena,nan,72,78,69,58,nan
Tristan da Cunha,nan,4,nan,2,nan,nan
Sao Tome and Principe,nan,nan,nan,5254,nan,nan
Seychelles,nan,1708,1603,1689,nan,1582
Sierra Leone,nan,nan,nan,nan,nan,nan
Somalia,nan,nan,nan,nan,nan,nan
South Africa,nan,nan,nan,nan,677707,nan
Sudan,nan,nan,nan,nan,nan,nan
Swaziland,nan,nan,nan,nan,nan,nan
Tunisia,nan,207455,211649,207786,200223,nan
Uganda,nan,nan,nan,nan,nan,nan
United Republic of Tanzania,nan,nan,nan,nan,nan,nan
Zaire,nan,nan,nan,nan,nan,nan
Zambia,nan,nan,nan,nan,nan,nan
Zimbabwe,nan,nan,359286,nan,nan,nan
Anguilla,nan,nan,nan,169,nan,nan
Bahamas,nan,5124,4870,4637,4357,nan
Barbados,nan,4240,nan,3781,nan,3473
Belize,nan,6555,7597,5112,4647,nan
Bermuda,nan,901,nan,nan,nan,nan
Canada,nan,411910,398642,388394,386350,nan
Cayman Islands,nan,500,520,527,531,nan
Costa Rica,nan,81110,80164,nan,80391,nan
Cuba,nan,173896,157349,152226,nan,nan
Dominica,nan,1712,1835,1757,nan,nan
Dominican Republic,nan,127389,103744,nan,nan,nan
El Salvador,nan,151210,154014,nan,152943,nan
Greenland,nan,nan,nan,1200,nan,nan
Guadeloupe,nan,1192,7310,nan,nan,nan
Guatemala,nan,nan,nan,nan,nan,nan
Haiti,nan,359904,363648,370138,nan,nan
Honduras,nan,nan,nan,nan,nan,nan
Jamaica,nan,59879,56276,nan,59235,nan
Martinique,nan,6316,6305,5900,nan,nan
Mexico,nan,2756447,2797397,2839686,2904389,nan
Netherlands Antilles,nan,3486,3755,3854,3928,3793
Nicaragua,nan,60080,59905,59191,55934,nan
Panama,nan,64516,nan,nan,64325,nan
Puerto Rico,nan,nan,64481,65242,nan,nan
Saint Kitts and Nevis,nan,915,841,849,909,nan
Saint Lucia,nan,nan,3624,nan,nan,3659
St. Vincent and the Grenadines,nan,nan,2686,nan,nan,2473
Trinidad and Tobago,nan,22368,23064,21094,nan,nan
United States,nan,4110907,nan,nan,3979000,nan
Argentina,nan,694776,678761,667518,707869,nan
Bolivia,nan,nan,nan,nan,nan,nan
Brazil,nan,2333202,2417470,2418514,2472325,nan
Chile,nan,nan,nan,nan,nan,nan
Colombia,nan,nan,nan,290438,288175,nan
Ecuador,nan,263612,198468,198722,nan,nan
Falkland Islands,nan,26,27,nan,nan,nan
Guyana,nan,34591,37649,nan,nan,nan
Paraguay,nan,nan,nan,nan,nan,nan
Peru,nan,658884,661061,663239,664327,nan
Suriname,nan,54754,54190,56210,nan,nan
Uruguay,nan,nan,nan,nan,nan,nan
Venezuela,nan,602024,nan,nan,nan,nan
Afghanistan,nan,nan,nan,nan,nan,nan
Armenia,nan,77825,70581,59041,51143,nan
Azerbaijan,nan,73229,73874,74797,73766,nan
Bahrain,nan,nan,nan,nan,nan,nan
Bangladesh,nan,nan,nan,nan,nan,nan
Bhutan,nan,nan,nan,nan,nan,nan
Brunei Darussalam,nan,7106,7290,7314,nan,nan
Cambodia,nan,nan,nan,nan,nan,nan
China,nan,27790000,27260000,nan,nan,nan
Cyprus,nan,13216,14395,10514,10379,nan
East Timor,nan,nan,nan,nan,nan,nan
Georgia,nan,nan,nan,nan,nan,nan
Hong Kong,nan,68281,70949,70451,71646,nan
India,nan,nan,nan,nan,nan,nan
Indonesia,nan,nan,nan,nan,nan,nan
Iran,nan,nan,nan,nan,nan,nan
Iraq,nan,7885649,nan,nan,nan,nan
Israel,nan,105725,110062,112330,114543,116412
Japan,nan,1223245,1208989,1188282,1238328,nan
Jordan,nan,150177,155684,149493,140444,nan
Kazakhstan,nan,354101,338475,316263,nan,nan
Korea, Dem. People's Rep. of,nan,nan,nan,420576,nan,nan
Korea, Republic of,nan,706710,726993,711129,710064,nan
Kuwait,nan,20609,34817,37379,38868,nan
Kyrgyzstan,nan,129536,128352,116795,110113,nan
Lao People's Dem. Rep.,nan,nan,nan,nan,nan,nan
Lebanon,nan,nan,nan,nan,nan,nan
Macau,nan,6832,6676,6267,6775,5876
Malaysia,nan,507889,524349,536931,529080,542500
Peninsular Malaysia,nan,401796,414123,424089,nan,nan
Maldives,nan,8390,8139,7780,nan,nan
Mongolia,nan,nan,nan,nan,nan,nan
Myanmar,nan,nan,nan,nan,nan,nan
Nepal,nan,nan,nan,nan,nan,nan
Oman,nan,nan,nan,nan,nan,nan
Pakistan,nan,3593303,3628799,nan,nan,nan
Philippines,nan,7643296,7684395,nan,nan,nan
Qatar,nan,nan,nan,nan,nan,nan
Saudi Arabia,nan,nan,nan,nan,nan,48611
Singapore,nan,49114,49402,50225,49554,nan
Sri Lanka,nan,nan,nan,nan,nan,nan
