Country,Extra Info,1986,1987,1988,1989
Yemen,nan,nan,nan,nan,nan
Albania,nan,76435,79696,80241,nan
Andorra,nan,547,527,572,634
Austria,nan,86964,86503,88052,87930
Belgium,nan,117102,117422,nan,nan
Bulgaria,nan,120078,nan,nan,nan
Channel Islands,nan,1619,1654,1789,nan
Guernsey,nan,671,645,680,nan
Jersey,nan,948,1009,1109,nan
Czechoslovakia,nan,220494,nan,nan,nan
Denmark,nan,76843,214927,216000,208552
Faeroe Islands,nan,787,777,58907,61467
Finland,nan,60632,59241,63313,63388
France,nan,778468,767828,770000,nan
German Democratic Rep.,nan,222268,225959,215734,198922
Germany, Federal Rep.,nan,625963,642010,677259,677407
Gibraltar,nan,507,531,523,530
Greece,nan,112250,105899,107668,nan
Hungary,nan,128204,125840,124296,nan
Iceland,nan,3881,4193,4673,nan
Ireland,nan,61620,58433,54287,nan
Isle of Man,nan,709,729,781,nan
Italy,nan,577345,552329,nan,nan
Liechtenstein,nan,nan,365,nan,nan
Luxembourg,nan,4309,4238,4603,nan
Malta,nan,5421,5471,5748,nan
Netherlands,nan,184513,186651,186647,188999
Norway,nan,52514,54027,57526,59227
Poland,nan,634748,605492,587741,562530
Portugal,nan,126748,123218,122121,nan
Romania,nan,nan,nan,nan,nan
San Marino,nan,179,nan,nan,nan
Spain,nan,434490,nan,nan,nan
Sweden,nan,101950,104677,112000,115900
Switzerland,nan,76320,76505,80345,81200
United Kingdom,nan,754982,nan,787556,777300
Yugoslavia,nan,359626,359338,356268,335914
American Samoa,nan,1517,1640,1625,nan
Australia,nan,243408,243959,246082,nan
Christmas Island,nan,nan,nan,nan,nan
Cocos (Keeling) Islands,nan,415,nan,nan,nan
Cook Islands,nan,19045,nan,nan,17577
Fiji,nan,nan,nan,nan,nan
French Polynesia,nan,3309,3348,5185,5364
Guam,nan,nan,nan,nan,nan
New Caledonia,nan,3782,3881,nan,nan
New Zealand,nan,52824,55254,nan,58091
Niue,nan,48,50,nan,nan
Norfolk Island,nan,nan,nan,29,nan
Pacific Islands,nan,nan,nan,nan,nan
Northern Mariana Islands,nan,803,nan,nan,nan
Palau,nan,nan,nan,292,nan
Papua New Guinea,nan,nan,122240,nan,nan
Tonga,nan,nan,nan,nan,nan
USSR,USSR,5610769,5599195,5381056,nan
USSR,Byelorussian SSR,171611,162937,163193,nan
USSR,Ukrainian SSR,792574,760851,744056,nan
