Country,Extra Info,2011,2012,2013,2014,2015
Algeria,Total,909 787,978 233,962 722,1 014 248,1 040 285
Benin,Total,366 889,376 439,nan,nan,nan
Botswana,Total,39 368,40 856,nan,nan,nan
Burundi,Total,nan,nan,44 794,41 741,nan
Djibouti,Total,216 398,221 289,248 395,nan,nan
Egypt,Total,10 871,nan,nan,nan,nan
Anguilla,Total,185,192,165,151,165
Antigua and Barbuda,Total,1 257,1 187,nan,nan,nan
Aruba,Total,1 236,1 288,1 346,1 376,1 244
Bahamas,Total,4 747,4 469,4 330,4 196,nan
Barbados,Total,3 283,3 185,3 020,2 902,nan
Belize,Total,7 217,nan,nan,nan,nan
Bermuda,Total,670,648,648,574,583
British Virgin Islands,Total,333,286,277,280,266
Canada,Total,377 897,382 980,386 044,388 729,nan
Cayman Islands,Total,800,759,705,711,649
Costa Rica,Total,73 459,73 326,70 550,71 793,71 819
Cuba,Total,133 067,125 674,125 880,122 643,nan
Panama,Total,73 292,75 486,73 804,75 183,75 866
Puerto Rico,Total,41 133,38 974,36 580,34 503,31 229
Saint Kitts and Nevis,Total,666,636,547,641,nan
Saint Lucia,Total,2 009,2 103,nan,nan,nan
Saint Vincent and the Grenadines,Total,1 725,1 853,1 738,1 841,nan
Sint Maarten (Dutch part),Total,432,414,511,nan,nan
Trinidad and Tobago,Total,18 141,18 729,18 823,18 729,nan
United States of America,Total,3 952 841,3 932 181,3 988 076,nan,nan
United States Virgin Islands,Total,1 491,1 415,nan,nan,nan
Argentina,Total,758 042,738 318,754 603,777 012,nan
Bolivia,Total,160 499,128 738,149 832,153 016,nan
Brazil,Total,nan,nan,nan,nan,754
Chile,Total,247 358,243 635,242 005,252 194,nan
Colombia,Total,662 783,675 694,658 835,669 131,nan
Ecuador,Total,229 780,235 237,220 896,476,nan
Paraguay,Total,111 945,118 549,114 619,116 592,nan
Peru,Total,396 839,414 081,475 349,492 008,nan
Suriname,Total,9 703,10 217,10 012,10 407,nan
Uruguay,Total,46 712,48 059,48 681,48,nan
Venezuela,Total,615 132,619 530,nan,nan,nan
Armenia,Total,43 340,42 333,41 790,43 031,41 763
Azerbaijan,Total,176 072,174 469,172 671,170 503,166 210
Bahrain,Total,17 573,19 119,nan,nan,nan
Bangladesh,Total,2 891 000,2 933 000,995,931,nan
Brunei Darussalam,Total,6 724,6 909,6 680,6 891,6 699
China,Total,16 040 000,16 350 000,16 400 000,16 870 000,16 550 000
China Hong Kong SAR,Total,95 451,91 558,57 084,62 305,59 900
China Macao SAR,Total,5 852,7 315,6 571,7 360,7 055
Cyprus,Total,9 622,10 161,9 341,9 258,9 170
Georgia,Total,58 014,57 031,57 878,60 635,nan
India,Total,nan,nan,nan,nan,nan
Iran,Total,1 382 229,1 421 689,1 471 834,1 534 362,nan
Iraq,Total,1 087 988,1 292 212,nan,1 178 921,nan
Israel,Total,166 296,170 940,171 444,nan,178 723
Japan,Total,1 050 806,1 037 231,1 029 816,1 003 539,1 656
Jordan,Total,178 435,177 695,178 143,nan,nan
Kazakhstan,Total,197 516,381 005,387 227,nan,nan
Kuwait,Total,58 198,59 753,59 426,61 313,nan
Kyrgyzstan,Total,149 612,154 918,155 520,161 813,163 452
Lebanon,Total,98 569,94 842,95 246,104 872,nan
Malaysia,Total,511 594,nan,nan,511,nan
Maldives,Total,7 180,7 431,7 153,7 245,nan
Mongolia,Total,69 853,73 839,79 780,82 839,82 130
Myanmar,Total,820 293,856 279,835 595,836 961,nan
Nepal,Total,725,nan,nan,nan,nan
Oman,Total,67 922,72 867,79 417,82 981,nan
Philippines,Total,746 684,790,761 602,857,nan
Qatar,Total,1,1 367,1,1 748,nan
Republic of Korea,Total,471 265,484 550,436 455,435 435,nan
