Country,Extra Info,2001,2002,2003,2004,2005
Algeria,Total,618380,616963,nan,nan,nan
Benin,Total,263726,nan,nan,nan,nan
Botswana,Total,53735,nan,nan,nan,nan
Cape Verde,Total,12926,13123,13334,nan,nan
Chad,Total,397896,nan,nan,nan,nan
Congo,Total,41312,40708,44132,44473,nan
Egypt,Total,1741308,1766589,777418,1779500,800972
Ghana,Total,433202,nan,nan,nan,nan
Kenya,Total,468249,494941,495433,nan,nan
Libyan Arab Jamahiriya,Total,99187,111053,nan,nan,nan
Malawi,Total,555558,567241,578978,nan,nan
Mali,Total,525685,nan,nan,nan,nan
Mauritius,Total,19696,19983,19343,230,18
Morocco,Total,541298,nan,nan,nan,nan
Mozambique,Total,753252,nan,nan,nan,nan
Namibia,Total,45157,15352,29805,nan,nan
Réunion,Total,nan,14789,14427,14545,14799
Saint Helena,Total,36,nan,nan,nan,nan
Seychelles,Total,nan,39,1481,37,1
South Africa,Total,1440,899286,498,897514,848043
Tunisia,Total,163300,nan,nan,nan,nan
Anguilla,Total,183,169,139,164,167
Aruba,Total,1263,1228,1244,1193,1234
Bahamas,Total,5353,nan,5054,nan,nan
Barbados,Total,nan,3812,nan,nan,nan
Belize,Total,7215,7553,7440,8083,8396
Bermuda,Total,831,830,834,831,835
British Virgin Islands,Total,314,253,269,318,nan
Canada,Total,333744,328802,335202,337422,342176
Cayman Islands,Total,622,583,623,611,699
Costa Rica,Total,76401,71144,72938,72247,71548
Cuba,Total,138718,141276,136795,127192,120716
Dominica,Total,1213,1081,nan,nan,nan
Dominican Republic,Total,161733,147027,142051,112630,nan
El Salvador,Total,138354,129363,124476,119710,112769
Greenland,Total,937,nan,895,893,887
Grenada,Total,1899,nan,nan,nan,nan
Guadeloupe,Total,7503,6995,7047,7273,7551
Guatemala,Total,415338,387287,375092,383704,374066
Jamaica,Total,48065,44331,43407,42448,41836
Martinique,Total,5908,5446,5430,5255,5032
Netherlands Antilles,Total,2705,2442,2488,2357,nan
Nicaragua,Total,121310,121361,120784,121402,121380
Panama,Total,63900,61671,61753,62743,63645
Puerto Rico,Total,55982,52871,50803,nan,687
Saint Kitts and Nevis,Total,803,nan,nan,nan,nan
Saint Lucia,Total,2788,2598,2486,2322,nan
Saint Vincent and the Grenadines,Total,2109,1985,1923,1804,1779
Trinidad and Tobago,Total,18078,16990,nan,nan,nan
Turks and Caicos Islands,Total,271,153,213,300,318
United States,Total,4025933,4021726,4089950,4115590,4138349
Argentina,Total,683495,694684,697952,736261,712220
Brazil,Total,2509354,2581055,2822462,2813704,2874542
Chile,Total,246116,238981,234486,230352,nan
Colombia,Total,724319,700455,710702,723099,719533
Ecuador,Total,786,183792,178549,168893,168324
French Guiana,Total,5114,nan,nan,nan,5998
Paraguay,Total,nan,nan,45669,49857,444
Peru,Total,354618,355870,373600,nan,nan
Suriname,Total,9717,10188,9634,9062,8657
Uruguay,Total,51959,51953,50631,50052,47334
Venezuela,Total,529552,492678,555614,637799,665997
Armenia,Total,32065,32229,35793,37520,37499
Azerbaijan,Total,110356,110715,113467,131609,141901
Bahrain,Total,13468,13576,14560,14968,15198
Bhutan,Total,nan,nan,nan,nan,12538
Brunei Darussalam,Total,7363,7464,7047,7163,6933
Cambodia,Total,359678,367569,375799,384267,nan
China,Total,17020000,16470000,15990000,15930000,16170000
China: Hong Kong SAR,Total,48219,nan,nan,nan,57098
China: Macao SAR,Total,3241,3162,3212,3308,3671
Cyprus,Total,8167,7883,8088,8309,8243
Georgia,Total,47589,46605,46194,49572,46512
Iran,Total,1112193,1122104,1171573,1154368,1233873
Iraq,Total,nan,nan,691269,840257,896340
Israel,Total,136638,139535,144936,145207,143913
Japan,Total,1170662,1153855,1123610,1110721,1062530
Jordan,Total,nan,146,nan,nan,nan
Kazakhstan,Total,221487,227171,247946,273028,977
Korea (Republic of),Total,557228,494625,493471,476052,438062
Kyrgyzstan,Total,98138,101012,105490,109939,109839
Kuwait,Total,69647,70817,73624,72558,74239
Lebanon,Total,83693,76405,71465,73900,73770
Malaysia,Total,516000,482600,516300,514500,512700
Maldives,Total,4897,5003,5154,5198,5518
Mongolia,Total,49685,46922,45723,45501,45326
Occupied Palestinian Territory,Total,103780,106511,106355,111245,109439
Oman,Total,39297,40222,40062,40584,42065
Pakistan,Total,3719694,nan,3683290,nan,3772494
Philippines,Total,nan,1666773,1669442,nan,nan
Qatar,Total,12118,12200,12856,13190,13401
Saudi Arabia,Total,559680,564483,569326,574211,582582
Singapore,Total,41451,40760,37485,37174,37492
Sri Lanka,Total,358583,363549,363343,360220,nan
Syrian Arab Republic,Total,524212,471970,492639,491476,nan
Tajikistan,Total,623,nan,177938,179600,180800
Thailand,Total,790425,782911,742183,813069,809485
Turkey,Total,1486000,nan,nan,nan,nan
Uzbekistan,Total,512950,nan,nan,nan,nan
Yemen,Total,nan,189341,130112,153945,152792
Albania,Total,54283,45515,47012,43022,39612
Andorra,Total,777,749,721,814,828
Austria,Total,75458,78399,76944,78968,78190
Belarus,Total,91720,88743,88512,88943,90508
Belgium,Total,114014,111225,112591,116048,117799
Bosnia and Herzegovina,Total,37717,35587,35234,35151,34627
Bulgaria,Total,68180,66499,67359,69886,71075
Jersey,Total,973,930,1005,971,969
Croatia,Total,40993,40094,39668,40307,42492
Czech Republic,Total,90715,97878,93685,97664,102211
Denmark,Total,65458,64075,64599,64609,64282
Faeroe Islands,Total,632,nan,4,nan,4117
Estonia,Total,nan,161,987,892,100
Finland,Total,56189,nan,nan,nan,712
France,Total,770945,761630,761464,767816,774355
Germany,Total,nan,719250,nan,705622,nan
Gibraltar,Total,374,371,372,421,418
Greece,Total,nan,103838,104420,105655,nan
Hungary,Total,97047,nan,nan,137,97496
Iceland,Total,4091,nan,nan,4234,4280
Ireland,Total,57854,60521,61529,61684,61042
Isle of Man,Total,863,903,nan,862,901
Italy,Total,535535,530530,544544,nan,554554
Latvia,Total,19664,20044,nan,562,21497
Liechtenstein,Total,401,395,347,372,381
Lithuania,Total,31546,30014,30598,30419,30541
Luxembourg,Total,5459,5345,5303,nan,3858
Malta,Total,3859,3805,4036,3887,nan
Monaco,Total,748,771,842,825,894
Netherlands,Total,202603,202083,200297,194007,187910
Norway,Total,nan,nan,56458,56951,56756
Poland,Total,368205,353765,351072,356131,364383
Portugal,Total,112774,114383,112515,109298,109399
Republic of Moldova,Total,36448,nan,nan,nan,37695
Romania,Total,220368,nan,nan,nan,221020
Russian Federation,Total,1311604,1396967,1477301,1502477,1457400
San Marino,Total,315,295,300,306,284
Serbia and Montenegro,Total,130194,86600,87370,88406,nan
Slovakia,Total,51136,50841,51713,53747,54430
Slovenia,Total,17477,17501,17321,17961,18157
Spain,Total,406380,418846,441881,454591,465616
Sweden,Total,91466,95815,99157,100928,101346
Switzerland,Total,73509,72372,71848,73082,72903
North Macedonia,Total,27010,27761,27011,23361,22482
Ukraine,Total,376478,390688,408589,427259,426086
United Kingdom,Total,669123,668777,695549,715996,722600
American Samoa,Total,1655,1629,1608,1713,1720
Australia,Total,246394,250988,251161,254246,259791
Cook Islands,Total,313,292,298,295,nan
Fiji,Total,16689,16990,17701,nan,nan
French Polynesia,Total,4874,4763,4501,4431,4469
Guam,Total,3583,3222,3298,3427,3203
Marshall Islands,Total,1511,nan,nan,nan,nan
Micronesia,Total,2620,2446,2483,nan,nan
Nauru,Total,296,219,nan,nan,nan
