Country,Extra Info,2016,2017,2018,2019,2020
Algeria,Total,1 066 823,1 059 514,nan,nan,nan
Botswana,Total,49 984,nan,nan,nan,nan
Burundi,Total,nan,43 290,54 023,54 100,nan
Cabo Verde,Total,9 907,9 831,9 231,nan,nan
Côte d'Ivoire,Total,659 247,619 181,635 924,nan,nan
Egypt,Total,2 600 173,2 557 440,2 382 362,2 304 832,2 271 802
Kenya,Total,948 351,923 487,1 138 654,1 186 144,1 138 667
Lesotho,Total,9 655,9 463,7 902,7 515,9 047
Malawi,Total,nan,nan,576 525,nan,nan
Niger,Total,315 317,nan,nan,nan,nan
Reunion,Total,13 742,nan,nan,13 171,nan
Saint Helena,Total,35,nan,nan,31,29
Sao Tome and Principe,Total,1 645,5 190,nan,nan,nan
Zambia,Total,219 441,208 000,202 694,195 822,nan
Antigua and Barbuda,Total,1 063,1 108,1 015,1 088,1 163
Aruba,Total,1 259,1 202,1 028,1 029,870
Bahamas,Total,4 093,4 017,nan,nan,nan
Belize,Total,7 437,7 444,7 979,7 492,7 203
Bermuda,Total,591,576,530,525,540
British Virgin Islands,Total,269,248,nan,nan,nan
Canada,Total,383 102,376 291,372 329,372 040,nan
Cayman Islands,Total,660,625,640,646,817
Costa Rica,Total,70 004,68 816,68 479,64 287,57 848
Cuba,Total,116 872,114 971,116 333,109 716,nan
Curaçao,Total,1 789,1 548,1 680,1 583,nan
Dominica,Total,796,647,nan,nan,nan
Dominican Republic,Total,159 161,166 758,172 723,175 466,141 548
El Salvador,Total,95 934,93 728,92 170,nan,nan
Greenland,Total,830,853,819,849,835
Grenada,Total,1 577,1 398,nan,nan,nan
Guadeloupe,Total,5 276,4 626,4 249,5 164,nan
Martinique,Total,3 782,3 640,3 670,3 749,nan
Montserrat,Total,46,55,45,47,50
Nicaragua,Total,137 772,136 724,136 361,131 411,nan
Panama,Total,75 184,76 166,76 863,72 456,67 951
Puerto Rico,Total,28 349,24 402,21 493,20 434,18 896
Saint Barthélemy,Total,nan,72,nan,nan,nan
Saint Kitts and Nevis,Total,676,648,593,594,nan
Saint Pierre and Miquelon,Total,33,30,32,34,nan
Saint Vincent and the Grenadines,Total,1 729,1 539,1 524,1 426,nan
Sint Maarten,Total,nan,363,nan,nan,nan
Trinidad and Tobago,Total,18 142,16 569,16 217,16 058,nan
Turks and Caicos Islands,Total,458,nan,nan,nan,nan
United States of America,Total,945 875,855 500,791 712,3 747 540,nan
United States Virgin Islands,Total,1 187,nan,1 197,nan,nan
Argentina,Total,728 035,609,685 394,625 441,nan
Bolivia,Total,199 577,197 348,178 710,nan,nan
Brazil,Total,2 903 933,2 962 815,2 983 567,nan,nan
Chile,Total,231 211,219 186,221 731,367,nan
Colombia,Total,647 521,656 704,649 115,642 660,nan
Ecuador,Total,272 090,291 397,293 980,285 827,nan
French Guiana,Total,7 270,8 057,7 995,8 104,7 992
Guyana,Total,15 358,14 464,14 659,nan,nan
Suriname,Total,9 910,9 785,9 809,10 127,nan
Uruguay,Total,47 058,43 036,40 139,37 472,nan
Venezuela,Total,642 644,nan,nan,nan,nan
Armenia,Total,40 592,37 700,36 574,36 041,36 353
Azerbaijan,Total,159 464,144 041,138 982,141 179,126 571
Bahrain,Total,20 714,20 581,nan,nan,nan
Bangladesh,Total,3 006 960,3 009 950,3 012 180,3 013 650,3 040 667
Bhutan,Total,9 718,9 841,10 711,9 667,nan
Brunei Darussalam,Total,6 437,6 452,6 199,6 178,nan
China,Total,17 860 000,17 230 000,15 230 000,14 650 000,nan
China Hong Kong SAR,Total,60 856,56 548,53 716,52 856,nan
China Macao SAR,Total,7 146,6 529,5 925,5 979,5 545
Cyprus,Total,9 455,9 229,9 329,9 548,nan
Georgia,Total,569,nan,nan,296,nan
India,Total,22 200 991,22 104 418,23 269 383,nan,nan
Iran,Total,1 528 053,1 487 913,1 366 519,1 196 132,nan
Iraq,Total,994 404,1 001 754,1 087 757,nan,nan
Japan,Total,977 242,946 146,918 400,865 239,nan
Jordan,Total,197 789,211 441,207 917,197 287,557
Kazakhstan,Total,400 694,390 262,397 799,402 310,176
Kuwait,Total,58 797,59 172,56 121,53 565,nan
Kyrgyzstan,Total,158 160,153 620,171 149,173 484,158 112
Malaysia,Total,508 203,508 685,501 945,487 957,470 195
Maldives,Total,6 756,6 723,6 564,6 127,nan
Mongolia,Total,79 920,nan,nan,nan,nan
Myanmar,Total,844,nan,nan,nan,nan
Oman,Total,515 280,545 972,581 414,nan,nan
Philippines,Total,1 731 289,1 700 618,1 668 120,1 673 923,1 403 336
Qatar,Total,26 816,27 906,28 069,28 412,nan
Republic of Korea,Total,406 243,357 771,326 822,270 777,nan
Saudi Arabia,Total,447 040,488 130,nan,nan,nan
Singapore,Total,41 251,39 615,39 039,39 279,nan
Sri Lanka,Total,331 073,326 052,328 112,319 010,301 706
State of Palestine,Total,138 238,140 441,nan,nan,nan
Tajikistan,Total,230 044,224 057,231 020,234 383,nan
Turkey,Total,1 314 764,1 297 638,1 252 745,1 183 652,1 112 859
United Arab Emirates,Total,nan,97 733,95 313,94 697,nan
Uzbekistan,Total,726 170,nan,nan,nan,841 817
Yemen,Total,394 135,390 367,415 263,nan,448 812
Åland Islands,Total,293,279,280,267,261
Albania,Total,31 733,30 869,28 934,539,539
Andorra,Total,634,588,543,84 952,nan
Austria,Total,87 675,87 633,85 535,84 952,nan
Belarus,Total,117 779,102 556,94 042,87 851,nan
Belgium,Total,121 896,119 690,118 319,116 128,nan
Bosnia and Herzegovina,Total,29 276,29 158,29 467,28 360,nan
