Country,Extra Info,1976,1977,1978,1979
Algeria,nan,163942,nan,nan,144993
Angola,nan,nan,nan,nan,nan
Benin,nan,nan,nan,nan,nan
Botswana,nan,nan,nan,nan,nan
Burundi,nan,nan,nan,nan,nan
Cape Verde,nan,nan,nan,nan,nan
Central African Republic,nan,nan,nan,nan,nan
Chad,nan,nan,nan,nan,nan
Comoros,nan,nan,nan,nan,nan
Congo,nan,nan,nan,nan,nan
Egypt,nan,444228,457329,415039,451340
Equatorial Guinea,nan,nan,nan,nan,nan
Ethiopia,nan,nan,nan,nan,nan
Gabon,nan,nan,nan,nan,nan
Gambia,nan,nan,nan,nan,nan
Ghana,nan,nan,nan,nan,nan
Guinea,nan,nan,nan,nan,nan
Guinea-Bissau,nan,nan,nan,nan,nan
Ivory Coast,nan,nan,nan,nan,nan
Kenya,nan,nan,nan,nan,nan
Lesotho,nan,nan,nan,nan,nan
Liberia,nan,nan,nan,nan,nan
Libyan Arab Jamahiriya,nan,16319,nan,nan,nan
Madagascar,nan,nan,nan,nan,nan
Malawi,nan,nan,nan,nan,nan
Mali,nan,nan,nan,nan,nan
Mauritania,nan,nan,nan,nan,nan
Mauritius,nan,6815,6966,6400,6615
Morocco,nan,nan,nan,nan,nan
Mozambique,nan,nan,nan,nan,nan
Namibia,nan,nan,nan,nan,nan
Niger,nan,nan,nan,nan,nan
Nigeria,nan,nan,nan,nan,nan
Reunion,nan,nan,3,nan,2982
Rwanda,nan,3076,105,nan,nan
St. Helena,nan,54,nan,nan,nan
Sao Tome and Principe,nan,881,853,800,nan
Senegal,nan,nan,nan,nan,nan
Seychelles,nan,nan,nan,nan,nan
Sierra Leone,nan,466,477,nan,436
Somalia,nan,nan,nan,nan,nan
South Africa,nan,nan,nan,nan,nan
Sudan,nan,nan,nan,nan,nan
Swaziland,nan,nan,nan,nan,nan
Togo,nan,36919,nan,nan,nan
Tunisia,nan,nan,nan,nan,nan
Uganda,nan,nan,nan,nan,nan
Cameroon,nan,nan,nan,nan,nan
Tanzania,nan,nan,nan,nan,nan
Upper Volta,nan,nan,nan,nan,nan
Zaire,nan,nan,nan,nan,nan
Zambia,nan,nan,nan,nan,nan
Zimbabwe,nan,nan,nan,nan,nan
Antigua,nan,nan,4489,nan,nan
Bahamas,nan,976,1067,nan,nan
Barbados,nan,2349,2159,1991,nan
Bermuda,nan,384,375,nan,nan
British Virgin Islands,nan,167009,167498,nan,nan
Canada,nan,81,84,nan,498
Costa Rica,nan,nan,8907,8625,nan
Cuba,nan,452527,456057,454687,nan
Dominica,nan,nan,532,429,nan
Dominican Republic,nan,25125,25009,425000,423000
El Salvador,nan,30826,nan,30086,nan
Greenland,nan,348,354,314,nan
Grenada,nan,nan,nan,nan,nan
Guadeloupe,nan,nan,2265,765,nan
Guatemala,nan,81627,nan,nan,nan
Haiti,nan,18168,18576,nan,nan
Honduras,nan,nan,nan,nan,nan
Jamaica,nan,414635,414200,412484,nan
Martinique,nan,nan,2155,42196,nan
Mexico,nan,nan,404880,nan,nan
Montserrat,nan,128,nan,nan,nan
Nicaragua,nan,nan,12886,12863,nan
Panama,nan,9006,8036,7512,nan
Puerto Rico,nan,19893,19895,455,nan
St. Kitts-Nevis-Anguilla,nan,476,502,19574,nan
Saint Lucia,nan,nan,nan,nan,nan
Saint Pierre and Miquelon,nan,nan,35,nan,nan
Trinidad and Tobago,nan,7388,7311,7393,nan
Turks and Caicos Islands,nan,nan,nan,nan,nan
United States,nan,nan,nan,nan,nan
United States Virgin Islands,nan,512,408,4504,nan
Argentina,nan,28607,nan,nan,nan
Bolivia,nan,80531,73434,72436,nan
Brazil,nan,nan,nan,nan,nan
Chile,nan,219300,nan,nan,nan
Colombia,nan,nan,nan,nan,nan
Ecuador,nan,60695,59899,55300,nan
Falkland Islands,nan,10,28,24,nan
French Guiana,nan,6251,nan,nan,nan
Guyana,nan,nan,nan,46000,nan
Paraguay,nan,nan,14855,nan,nan
Peru,nan,nan,nan,136847,nan
Suriname,nan,28845,28927,28041,nan
Uruguay,nan,nan,nan,nan,nan
Venezuela,nan,75088,74257,72366,74950
Afghanistan,nan,nan,nan,nan,nan
Bangladesh,nan,nan,nan,nan,nan
