Monaco,Total,nan,429,55,55,nan
Montenegro,Total,5847,5922,5917,6014,6329
Netherlands,Total,135741,140813,141245,139223,147010
Norway,Total,375501,384788,387312,376467,nan
Poland,Total,225524,233015,nan,nan,nan
Portugal,Total,149977,151773,nan,104843,108511
Republic of Moldova,Total,12541,26708,39560,38060,39494
Romania,Total,251439,255539,246967,254117,260661
Russian Federation,Total,1925720,1906335,1878269,nan,nan
San Marino,Total,222,nan,nan,247,252
Serbia,Total,93554,102400,100300,93247,93678
Slovakia,Total,53594,52437,52089,51346,53826
Slovenia,Total,18699,19257,19334,18886,19834
Spain,Total,386017,401122,388600,393734,420018
Sweden,Total,89938,91938,90402,88976,90907
Switzerland,Total,62091,64173,64961,63938,67262
TFYR of Macedonia,Total,16640,17156,17307,16849,nan
Ukraine,Total,664411,663139,662368,632296,nan
United Kingdom,Total,552232,569024,574945,568840,602776
American Samoa,Total,283,282,270,259,nan
Australia,Total,146932,147098,147678,153580,nan
Cook Islands,Total,72,59,115,61,102
Fiji,Total,nan,104,6724,6939,nan
French Polynesia,Total,1242,1360,1441,1427,1394
Guam,Total,842,894,904,952,1009
Kiribati,Total,75,nan,nan,nan,nan
Nauru,Total,nan,nan,nan,nan,nan
New Caledonia,Total,320,322,nan,nan,nan
New Zealand,Total,30082,30099,29568,31062,31608
Niue,Total,9,nan,3020,3102,nan
Norfolk Island,Total,18,20,11,13,nan
Northern Mariana Islands,Total,165,163,185,202,nan
Palau,Total,173,164,192,nan,nan
Samoa,Total,591,nan,nan,nan,nan
