Slovenia,Total,12172,11770,21540,21506
Spain,Total,149,461954,433420,435351
Sweden,Total,91958,94737,94385,nan
Switzerland,Total,71192,74425,71822,71942
Ukraine,Total,nan,nan,nan,nan
United Kingdom of Great Britain and Northern Ireland,Total,667480,657260,662062,nan
American Samoa,Total,331,399,356,nan
Australia,Total,101245,113480,74703,132
Cook Islands,Total,nan,nan,nan,nan
Fiji,Total,8815,nan,nan,nan
French Polynesia,Total,2315,1699,1807,1842
Guam,Total,1281,nan,184,1165
New Caledonia,Total,1983,902,1440,nan
New Zealand,Total,34929,38574,37884,37722
Niue,Total,13,21,21,17
Palau,Total,170,201,179,nan
Samoa,Total,nan,nan,nan,nan
Tonga,Total,298,nan,nan,nan
Tuvalu,Total,112,80,127,nan
