Country,Extra Info,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958
Puerto Rico,nan,85625,86038,84076,80438,77754,77832,77830,78284,76058,75807
St. Pierre and Miquelon,nan,124,135,125,118,108,118,124,nan,nan,nan
United States,nan,3577206,3571928,3769791,3868317,3925007,4040602,4070960,4187815,4279689,4227966
Virgin Islands [UK],nan,224,227,282,310,318,305,292,317,319,315
Virgin Islands [US],nan,886,894,953,862,871,879,913,977,1038,1122
West Indies,nan,87734,91085,94287,94446,100026,107308,112490,111110,nan,nan
Antigua,nan,1577,1654,1676,1612,1687,1660,1880,1917,1764,1818
Barbados,nan,6549,6432,6793,7291,7304,7576,7593,7082,7314,7115
Dominica,nan,1802,1848,1965,2091,2080,2345,2543,2416,2557,2724
Grenada,nan,2746,2962,3037,3119,3283,3507,3919,3627,4664,4253
Jamaica ex. dep,nan,44377,46459,48561,48902,51131,53630,55767,58177,60770,62077
Cayman Islands,nan,164,198,213,197,244,237,226,235,nan,nan
Turks and Caicos Islands,nan,227,240,239,243,206,238,268,223,nan,240
Montserrat,nan,398,406,436,423,424,429,428,396,373,377
St. Kitts-Nevis and Anguilla,nan,1612,1682,1741,1832,1964,2226,2494,2418,2697,2520
St. Lucia,nan,2758,2820,2892,2906,3069,3090,3549,3571,3924,3952
St. Vincent,nan,2593,2662,2930,2906,3069,3117,3607,3601,nan,3930
Trinidad and Tobago,nan,22931,23722,23804,22924,25565,29253,30216,27447,28848,29667
Argentina,nan,419656,438766,444326,446156,459734,457559,461216,467493,470898,459434
Bolivia,nan,119413,126497,119874,125601,121051,111479,95496,96430,75819,77599
Brazil,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brazil,federal District and State capitals,nan,158225,166050,164315,164460,179994,179003,180721,nan,nan
British Guiana,nan,16718,16404,17700,18971,19445,19449,20185,20733,22032,22731
British Guiana,Amerindian population,419,581,657,584,703,814,888,935,951,930
Chile,nan,206591,206582,209794,205758,222956,220968,225352,237268,257870,258970
Colombia,nan,388926,413721,419384,436406,471109,474585,511011,538485,563037,585561
Ecuador,nan,140842,149153,152999,155641,163809,156719,166977,178520,184919,185932
Falkland Islands ex. dep,nan,40,35,45,55,46,49,48,48,41,46
Albania,nan,504682,nan,nan,nan,nan,nan,nan,nan,nan,nan
Andorra,nan,nan,nan,47813,44727,53273,54635,61300,nan,773756,416576
Austria,nan,113375,107854,nan,nan,nan,146125,nan,nan,115827,119755
Belgium,nan,147854,182571,142314,154014,153200,149902,149195,150978,150210,152871
Bulgaria,nan,177734,182571,152803,nan,nan,nan,nan,nan,147910,138294
Channel Islands,nan,1765,1643,1593,1596,1530,1561,1416,1536,1572,1659
Guernsey and dep.,nan,829,778,776,763,756,721,680,716,739,717
Jersey,nan,936,865,817,833,774,840,736,820,833,942
Czechoslovakia,nan,276537,288062,286233,280967,271671,266712,265179,261976,252740,234707
Denmark,nan,79919,79558,76559,76943,78261,76365,76845,76725,75264,74737
Faeroe Islands,nan,882,866,857,809,746,757,750,767,746,nan
Finland,nan,103515,98065,93063,94314,90866,89845,89740,88896,86985,81148
France,nan,872661,862310,826722,822204,804696,810754,805917,806916,816467,812215
Germany,Eastern Germany,261242,290521,298262,293686,285726,280527,280019,268209,257752
Germany,Federal Republic of Germany,812200,791221,776144,781029,778206,798479,803012,838401,874365,885659
Germany,Berlin,33383,34959,nan,nan,nan,nan,nan,nan,nan,nan
Germany,Berlin East Berlin,12780,13345,12510,12318,13207,13188,13261,13073,13149,13431
Germany,Berlin West Berlin,20603,21614,19464,18051,17890,17549,17116,17486,17863,18806
Gibraltar,nan,525,459,544,551,525,566,561,571,550,405
Greece,nan,139108,151134,155422,149637,143765,151892,154263,158203,155940,155359
Hungary,nan,190398,195567,190645,185820,206926,223347,210430,192810,167202,158428
Iceland,nan,3884,4093,3999,4075,4254,4281,4505,4564,4726,4625
Ireland,nan,64153,63263,62878,64631,62558,62534,61622,60740,61242,59510
Isle of Man,nan,840,849,837,806,719,625,615,632,632,662
Italy,nan,940293,911805,863849,847354,842274,870689,869333,873608,878906,873530
Liechtenstein,nan,311,275,290,303,321,316,300,317,353,372
Luxembourg,nan,4243,4401,4482,4846,4848,4998,4962,4833,4954,4959
Malta and Gozo,nan,10590,10281,9511,9226,8977,8991,8560,8418,8794,8528
Monaco,nan,277,311,260,304,312,nan,nan,nan,nan,nan
Netherlands,nan,236177,229369,228631,232596,228609,228892,229911,231204,233608,236543
