Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1051.0,1036.0,1133.0,1093.3333333333333,1053.6666666666667,1014.0,902.0,949.0,1016.1428571428571,1083.2857142857142,1150.4285714285713,1217.5714285714284,1284.7142857142858,1351.857142857143,1419.0,1452.0,1414.2,1376.4,1338.6,1300.8,1263.0,1228.0,1244.0,1193.0,1234.0,1209.7333333333333,1185.4666666666667,1161.2,1136.9333333333334,1112.6666666666667,1088.4,1064.1333333333334,1039.8666666666668,1015.6,991.3333333333334,967.0666666666667,942.8,918.5333333333333,894.2666666666667,870.0,892.5,915.0,856.0,820.0
Australia,181261.0,190591.0,193298.0,201650.0,202235.0,202256.0,207677.0,212133.0,220358.0,222504.0,225421.66666666666,228339.33333333334,231257.0,234174.66666666666,237092.33333333334,240010.0,242927.66666666666,245845.33333333334,248763.0,251680.66666666666,254598.33333333334,257516.0,276362.0,265124.0,247670.0,241912.0,236154.0,227810.0,226619.0,172735.75,223418.0,229630.0,235842.0,239903.0,242570.0,234034.0,238721.0,243408.0,243959.0,246082.0,249803.66666666666,253525.33333333334,257247.0,264151.0,260229.0,258051.0,255942.5,253834.0,253955.0,249283.0,246573.0,246483.5,246394.0,250988.0,251161.0,254246.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0,259791.0
Austria,113375.0,107854.0,117421.75,126989.5,136557.25,146125.0,136025.66666666666,125926.33333333333,115827.0,119755.0,124377.0,108575.0,115827.0,118712.0,119755.0,118690.14285714286,117625.28571428571,116560.42857142857,115495.57142857143,114430.71428571429,113365.85714285714,112301.0,108510.0,104033.0,98041.0,96542.0,160037.25,160037.25,160037.25,85025.0,85905.0,89923.5,93942.0,120308.0,117395.0,115715.0,86643.0,86964.0,86503.0,88052.0,87930.0,91279.5,94629.0,95302.0,95227.0,92415.0,87760.0,88809.0,84045.0,81233.0,77381.0,76419.5,75458.0,78399.0,76944.0,78968.0,78190.0,72182.20833333333,66174.41666666667,60166.625,54158.83333333333,48151.041666666664,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25,42143.25
Azerbaijan,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73229.0,73874.0,74797.0,73766.0,101506.5,129247.0,132052.0,123996.0,117500.0,113928.0,110356.0,110715.0,113467.0,131609.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0,141901.0
Bahamas,2646.0,2532.0,2739.0,2714.0,3056.0,3410.0,2844.0,3290.0,3126.0,3029.0,4283.666666666667,5538.333333333334,6793.0,1046.0,1095.0,7304.0,1026.0,7576.0,102.0,1052.0,7082.0,6573.833333333333,6065.666666666667,5557.5,5049.333333333333,4541.166666666667,4033.0,295.0,4871.0,4966.0,5061.0,5156.0,5251.0,5293.0,5280.0,5023.0,4896.5,4770.0,4331.0,4943.0,5003.333333333333,5063.666666666667,5124.0,4870.0,4637.0,4357.0,5115.0,5873.0,5769.0,5665.0,5561.0,5457.0,5353.0,5203.5,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0,5054.0
Bahrain,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,10924.5,11037.0,11501.0,11965.0,12429.0,12893.0,12699.0,12555.0,12626.0,12697.0,12768.0,12839.0,12910.0,12981.0,13052.0,13123.0,13382.0,13403.5,13425.0,13446.5,13468.0,13576.0,14560.0,14968.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0,15198.0
Bangladesh,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3113342.0,3247470.0,3307851.5,3368233.0,3428614.5,3488996.0,3414202.0,347651.0,648689.7777777778,949728.5555555555,1250767.3333333333,1551806.111111111,1852844.8888888888,2153883.6666666665,2454922.444444444,2755961.222222222,3057000.0,2865999.6875,2674999.375,2483999.0625,2292998.75,2101998.4375,1910998.125,1719997.8125,1528997.5,1337997.1875,1146996.875,955996.5625,764996.25,573995.9375,382995.625,191995.3125,995.0,931.0,931.0,931.0,931.0,931.0,931.0,931.0,931.0,931.0,931.0,931.0
Barbados,6549.0,6432.0,6793.0,7291.0,7304.0,7576.0,7593.0,7082.0,7314.0,7115.0,6970.764705882353,6826.529411764706,6682.294117647059,6538.058823529412,6393.823529411765,6249.588235294117,6105.35294117647,5961.117647058823,5816.882352941177,5672.64705882353,5528.411764705882,5384.176470588235,5239.941176470588,5095.7058823529405,4951.470588235294,4807.235294117647,4663.0,4504.0,4482.0,4304.0,4340.333333333333,4376.666666666667,4413.0,4499.0,4496.0,4218.0,4130.5,4043.0,3828.0,3745.0,4015.0,4127.5,4240.0,4010.5,3781.0,3627.0,3473.0,3519.0,3567.8333333333335,3616.6666666666665,3665.5,3714.3333333333335,3763.1666666666665,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0,3812.0
Belarus,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,146676.0,149135.0,147813.0,144729.0,145623.0,146517.0,147900.0,149000.0,151100.0,149320.84615384616,147541.6923076923,145762.53846153847,143983.38461538462,142204.23076923078,140425.07692307694,138645.92307692306,136866.76923076922,135087.61538461538,133308.46153846153,131529.3076923077,129750.15384615384,127971.0,117384.0,110599.0,105665.33333333333,100731.66666666667,95798.0,89586.0,92845.0,93102.0,92411.0,91720.0,88743.0,88512.0,88943.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0,90508.0
Belgium,147854.0,182571.0,142314.0,154014.0,153200.0,149902.0,149195.0,150978.0,150210.0,152871.0,150919.35294117648,148967.70588235295,147016.0588235294,145064.41176470587,143112.76470588235,141161.11764705883,139209.4705882353,137257.82352941178,135306.17647058822,133354.5294117647,131402.88235294117,129451.23529411765,127499.58823529411,125547.94117647059,123596.29411764706,121644.64705882352,119693.0,121034.0,121852.0,121983.0,123658.0,123725.0,123792.0,120538.0,117284.0,114030.0,115566.0,117102.0,117422.0,121077.75,124733.5,128389.25,132045.0,124182.0,120998.0,116449.0,115638.0,114226.0,115214.0,115884.0,115260.66666666667,114637.33333333333,114014.0,111225.0,112591.0,116048.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0,117799.0
