Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Argentina,176392.0,183215.0,180776.0,183032.0,188741.0,194450.0,202673.0,183292.9375,163912.875,144532.8125,125152.75,125152.75,125152.75,125152.75,125152.75,125152.75,154145.8125,183138.875,212131.9375,241125.0,241904.0,241772.25,241640.5,241508.75,241377.0,245801.5,250226.0,263655.0,260973.0,258291.0,255609.0,262287.0,267286.0,260245.0,265577.5,270910.0,280180.0,281620.25,283060.5,284500.75,285941.0,291190.0,302064.0,294051.0,293529.0,292313.0,315852.0,301801.0,304525.0,311792.0,319059.0,319539.0,326197.0,325539.0,339265.5,352992.0,341688.0,336823.0,341728.0,388757.375,435786.75,397115.0,353428.0,353428.0
Armenia,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,23425.0,25824.0,27500.0,24648.0,27500.0,23985.0,23988.6,23992.2,23995.8,23999.4,24003.0,25554.0,26014.0,25679.0,26379.0,27202.0,26830.0,27412.0,27560.0,27921.0,27963.0,27514.0,27196.0,27714.0,27878.0,28226.0,27157.0,25751.0,26186.0,30325.75,30325.75,26692.0,24313.0,25435.0
Aruba,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,317.0,313.0,339.0,338.2,337.4,336.6,335.8,335.0,342.6923076923077,350.38461538461536,358.0769230769231,365.7692307692308,373.46153846153845,381.15384615384613,388.84615384615387,396.53846153846155,404.2307692307692,411.9230769230769,419.61538461538464,427.3076923076923,435.0,492.0,488.6666666666667,485.3333333333333,482.0,507.1666666666667,532.3333333333334,557.5,582.6666666666666,607.8333333333334,633.0,595.0,560.0,643.0,679.0,726.5,774.0,821.5,869.0,916.5,964.0,879.0,814.0,840.0
Ascension,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Australia,88961.0,93163.0,94894.0,100594.0,99715.0,103929.0,102703.0,109547.0,109914.66666666667,110282.33333333333,110650.0,109768.0,110822.0,116525.0,143644.0,170763.0,170763.0,170763.0,170763.0,108695.0,109003.0,114771.0,110084.0,114446.0,118808.0,114981.0,117321.0,118929.0,119001.33333333333,119073.66666666667,119146.0,123660.0,121599.0,126692.0,71947.0,129085.0,127952.0,128158.0,128286.66666666667,128415.33333333333,128544.0,133707.0,132292.0,132508.0,130714.0,133739.0,137854.0,143946.0,140760.0,143846.0,146932.0,147098.0,147678.0,153580.0,146103.57142857142,138627.14285714287,131150.7142857143,123674.28571428571,116197.85714285714,108721.42857142857,101245.0,113480.0,74703.0,71947.0
Austria,85673.0,90854.0,91579.0,89081.0,94177.0,91440.0,95438.0,96014.0,97743.0,96533.0,95323.0,95323.0,92768.0,94324.0,100579.5,106835.0,113090.5,113090.5,113090.5,92442.0,92693.0,91339.0,93041.0,91309.5,89578.0,87071.0,84907.0,84537.25,84167.5,83797.75,83428.0,83162.0,82517.0,80684.0,80368.0,79432.0,78339.0,77243.0,76417.66666666667,75592.33333333333,74767.0,76131.0,77209.0,74292.0,75189.0,74295.0,74625.0,75083.0,77381.0,77199.0,76479.0,79436.0,79526.0,78252.0,83073.0,80669.0,83270.0,83975.0,83386.0,91599.0,91962.0,93332.0,89760.0,88486.0
Azerbaijan,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,32432.0,39697.0,46962.0,46299.0,46295.0,45958.0,45621.0,45284.0,46522.0,49001.0,49568.0,51962.0,52248.0,53655.0,52710.0,52514.0,53580.0,53762.0,55017.0,54383.0,55648.0,54697.0,56648.0,57109.0,57250.0,55916.0,70592.0,70592.0,60810.0,60150.0,58909.0
Bahama Islands,1024.0,885.0,1030.0,972.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0
Bahamas,1098.0,1098.0,1098.0,1098.0,1098.0,1098.0,1068.0,1038.0,1008.0,978.0,948.0,1101.0,1180.0,1032.0,792.0,1952.0,2134.0,1868.6666666666667,1603.3333333333335,1338.0,1127.0,1185.0,1104.0,1222.5,1341.0,1407.0,1376.0,1319.0,1319.0,1319.0,1319.0,1383.0,1493.0,1538.0,1548.142857142857,1558.2857142857142,1568.4285714285713,1578.5714285714287,1588.7142857142858,1598.857142857143,1609.0,1629.0,1649.0,1707.5,1766.0,1824.5,1883.0,1941.5,2000.0,2058.5,2117.0,1995.0,2065.0,2139.3333333333335,2213.6666666666665,2288.0,2372.0,2372.0,2372.0,2372.0,2372.0,2372.0,2372.0,2372.0
Bahrain,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1085.0,1065.0,1119.0,4468.0,2840.0,1212.0,1423.0,1584.0,1523.0,1891.125,2259.25,2627.375,2995.5,3363.625,3731.75,4099.875,4468.0,4468.0,4468.0,3638.3333333333335,2808.666666666667,1979.0,2035.0,2114.0,2215.0,2222.0,2317.0,2270.0,2390.0,2387.0,2457.5,2528.0,2613.0,2588.0,2805.0,2831.5,2858.0,2902.0,3052.0,3010.0,3739.0,4468.0,3521.0,3521.0,3521.0
